,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,macro_return_add
X16.HK.EQUITY,0,0,0,0,0,0.0636129582361914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00587749473170248,0,0.0529250857312308,0.0680670871749672,-0.0562562433946555,0,0,0,0,0.028833672235543,0.083114394308653,0,0,0,0,0.190908217145834,0,0,0.550187055840574,0,0,-0.570307939743458,0,0,-0.0747081330444235,0.0942160634288539,0.0531568740853998,0
X601319.CH.EQUITY,0,0.0103889966759607,0.17095517098382,0,0,0,0,0,0,0,0,0,0,0,0.0516179590536566,0,0,0.0702507743617113,0,0,0,0,0,-0.0166424975111613,0,0,0,0,0,0.00230897377548067,0,0,0,0,0,0,0,0.196337787532473,0,0,0,0,0.0298372607830989,0.0958755422913373,0,0,0,-0.0319963494708287,0,0,0
X002142.CH.EQUITY,0,0,0,0.0748641599729249,0,0,0,0,-0.0044392245186159,0,0.114068295951164,0,0.213119252498006,0,0.0458720480197826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141382765066572,0,0,0,0,0,0,0,0,0.177769057567887,0,0,-0.0219374628768728,0,0,0.0269051892387219,0,0.0150390911801651,0,0,0,0,-0.0402496217655467
X11.HK.EQUITY,0,0,0,-0.0958049907258355,0,0.049517388019511,0.0525765501558626,0,0.590012120317073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921681702324738,0,-0.00881410798926303,0,0,0,0.127736837148518,0,0.217156549910906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0.303189357053854,0,0,0,0.305695489297585,0.0385312830527314,0,0.143101211858291,0,0,0,0,0,0,0,0.00460543665447801,0,0,0.0152486575139997,0,0,0,0,0,0,0,0,0.137308215967309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566036427125941,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.0297575262729306,0,0,0,0,0,0,0,-0.10300366064903,0,0,0,0,0,0.472313763025146,0,0,0,0.194422766822895,0,0,0,0,0.0590116815704326,0,0,0,0,0,0,0.393218240691596,-0.0694725202062984,0,0,0.1004138255728,0,0,0,0,0,-0.201215816191792,0,0,0,-0.0968910797620748,0,0.220632952604563,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.185568197906011,0,0,0,0,0,0,0,0,0,0,-0.167798995578278,0.150413835234273,0,0,0.482786311943884,-0.0264499436747818,0.143401629662987,0,0,0,0,0.0689537914495852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049825093760952,0,0,0.0313111480589838,-0.0141480457398943
X601818.CH.EQUITY,-0.0617078416925125,0.361248045375899,0,0,0,0,0,0,0,0,0.270156202178942,0,0,0,0,0,0,0,0,0,0,0,0.152985869623078,0,0.254460515271948,0,-0.0629845294574468,0,0,0,0,0.191534272583533,0.0547423353630186,0,0,0,0,0,0,0,0.0358226673278133,0,0.0383135758869243,0,0,0,0,0,0.0205579847613933,0,0
X600999.CH.EQUITY,0,8.67361737988404e-19,0.0639914405165357,0,0,0.122219499205869,0,0,0,0,0,-0.360397123768733,0,0,0.190831260841877,-0.0235422330964027,0.235674934530986,0,0,0.0927066552123026,0,0,0,0,0,0,0,0,0,0,0,-0.0466445077068155,0,0,0.0875248309673692,0,0.163532435486426,0,0,0.171267266562049,0,0,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0.044837665852245,0,-0.0136318894317678,0,-0.0594361622623395,0,0,0,0,0,0.164623786493714,0,0,0,0.44649351343446,0,0,0.238727441615065,-0.0779088491588831,0,0.107599046695889,0,0,0,0,0,-0.149194047471281,0,0,0,0,0,0,0,0,0,0.242371060432859,0,0,0,0,0,0,0,0,0,0,0,0.144924394548735,0
