,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,macro_return_add
X2388.HK.EQUITY,0,0,0,0.040816071444078,0,0,0,0.0193435882615025,0,0,0,0,0,0,0,0,0,0,0,0,0.152177680358711,0,0,0,0.288788419820135,0,0,0,0,0.0618972855698663,0,0,0,0,0,0,0,0,0.0593657123386083,0,0,0,0,0,0.0293464682003247,0.423268015459534,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0.213840700577567,0,0.359537454656692,0,0.0730281250892627,0,0,0,0,0,0,0,0,0,0.100829653819807,0,0,0,0,-0.195879145697252,0,-0.0376669631357651,0,0,0,0.442062165978844,-0.217095744292261,0,0.14352079219965,0,0,0.232581339364189,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.14937392839435,0,0
X2007.HK.EQUITY,0.06157020335413,0,0,0,0,0,0.0968676900006053,0.297828531957928,0.0668201709438252,0.00655522639219442,0,0,0,0,0,0,0,0,0,0,0,0.0306720391469583,0,0,0,0.104164223688269,0,0.115529237688739,0,0,0,0,0,0,0,0.0144704386608534,0,0,0,0,0,0,0,0,0,0.149556165810346,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0.067500587892463,0.20499137805503,0,0,0,0,0.0633405723377809,0,0,0,0,0,0.106071895235954,0,0.0288860730446329,0,0,0,0,0,0,0,0,0.0590491270247906,0,0,0,0,0,0,0,0,0.0256729037787558,0,0,0.031501085610544,0,0,0,0,0.293309951381467,0,0
X600048.CH.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0427992004054599,0,0,0.665627033498044,0,0,0,0.0992915384089548,0,0,0,0,0,0,0,0,0,0,0,0.017410242648844,0,0,0,0,0,0,0,0,0,-0.0209115054556044,0,0,0,0,0,0,-0.0719965604029782,0
X601818.CH.EQUITY,0,0,0,0.256460365945575,0.066136180909917,0,0,0,0,0,0,0,0,0.00982358790579416,0.0491877376340402,0.089494252032085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144788528340315,0,0,0,0,0,0.0448493116630025,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0.39762905602839,0,0,0,0,0,0,0,0,0,0,0,0.222158436058532,0,0,0.19528099522856,0,0,0,0,0,0,-0.158430272848001,-0.154517280207387,0.21520823608215,0,0,0,0,0,0,0,0,0,0.0247920870678368,0,0,0,0,0,0,0,0.366167790156148,0,0
X601688.CH.EQUITY,0.0276202778373882,0,0,0,0,0.00385688258691311,0,0,0,0.0171451637422718,0,0.0866890162258864,0,0,0,0,0,0,0,0,0,-0.0738471461961847,0.0465153310874716,0,0,0,0,0,0,0,0,0,0,0,0.0689673548971972,0,0,0,0.509310844864505,0,0,0,0,0.0214139403613275,0.0942981496065889,0,0.0911688558287685,0.18650007395544,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.0564092537620474,0,0,0,0,0.0785496129589183,0,0,0,0.0688705175344955,0.0222163171629713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50134969680749,0,0,0.0385630555850522,0,0,0,0,0,0,0.0334780955313736,0,0,0.00785642354395477,0.0558373599886619,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.100338587533445,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0821310681451893,0,0.340743174576926,0.420373486361312,0,-0.131573759579453,0,0,0,0,0,0,0,0,0,0,0,0,0.0369300726460089,0.0926525458619916,0,0.356831349340353,0,0,-2.16840434497101e-19,0,-0.409538483824273
