,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X2388.HK.EQUITY,0.0467647892307952,0,0.00465460520397946,0,0.340813626127067,0,0,0,0,0,0,0,0,0,0.314543624655625,0,0,0.235275577430578,0.272156992719743,0,0,-0.023879089568481,0,0,0,0,0,0,0,0,0,0,0,-0.0634034075549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0.122381027135375,0,0,0,0,0,0,0,0,0,0,0.0167253912524328,0,0,0.0354189817584224,0,0,0.11534926862923,0,0,0,0.0966285900632498,0,0,0,-0.0873729508640401,0,0,0,0,0,0,0.0283395971011536,0.137194408335995,0,0.308513764562362,0,0,0.0806332693393106,0.0336747605717294,0,0,0,0.0584556751384161,0,0,0,0.210738662900512,0
X1109.HK.EQUITY,0,0,0,0,-0.0131323951587079,0,0.128723273023697,0,0,0,0,0,0.190009241294127,0,0,0,0,0.273191387416036,0,0.228036850366043,0,0,-0.0661854918082766,0,0,0,0.388075641930173,0,0,0,0,0,0,0,-0.126319872753461,0,0,0,0,0,-0.229817648889427,0,0,0,0,0,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0.160322458013612,0,0,0,0,0,0,0.230152153392075,0,0.183077667567419,0.000243909244201149,0,0,0,0,0,0,0,0.120170881926053,0,0,-0.0250178014561415,0,0,0,0,0.0341319920554435,0.0318091812903461,0,0,-0.0434842508824746,0,0,0,0,0,0,0,0.0226779385647216,0,0,0,0.134312850808529
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18754881025108,0,0,-0.120090941321407,0,0,0,0,0,0.202519932569086,0,0,0,0,0,0.122795795614243,0,0,0,0,0,0,0.188696803996168,0,0,0,-0.0586918985489346,0.202573442299048,0,0,8.67361737988404e-19,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0.16758193621958,0,0,-0.0335288860621295,-0.360524694936151,0,0,0.112004053584169,0.317648216658417,0,0,0,0,0,0,0,0,0,0.0563249383886338,0,0,0,0,0.0192672321939467,0,-0.052461682808081,0,0,0,-0.0372740312314337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,-0.0026356995949377,0,-0.103341528349002,0,0,-0.00344852938948547,0,0,0,0.103745280110419,0,0,0,0.00551216655761965,0,0.18810093237223,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.0329072503024283,0,0,0.309334283926304,0,0,0,0,0,0,-0.0909583009149707,0,0,0,0.281151904017202,0,0,0,0,-0.0203141558794915,0,0.0574474659463215
X12.HK.EQUITY,0,0,0,0.165271837720836,0,0,0,0.253438364778486,0,0,0,0,-0.0678630346823106,-0.053907704775822,0.248316402256915,0,0,0.0223789996765574,0.306716063690295,0,0,0,0,0,0,0,0,0,0.0587261658238316,0.0766791277631585,0,0.191298928475981,0,-0.0782462374654558,0,0,0,0,0,0,-0.144324833678642,0,0,0,0.154911326487557,0,-0.0255502153603721,0,0,0.0279238798981094
X823.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0827361582316068,0,0,0,0,0,0,0,0,0,0.396431410745591,0,0.0606698569466429,0,-0.194726356299048,0,0,0,0,0,0,0.116043105049371,0.122533291748756,0,0,0,0,0,0,0,0,-0.0432039253204206,0,0,0.123174223832703,0,0,0,0,0.0635435397936844,0,1.73472347597681e-18
X002142.CH.EQUITY,0,0.176931286885295,0,0,0,0.147254355980905,0.280014745307702,0,0,0,0,0,0,0.315780827258492,0,0,0.0207472101223119,0,0,0,0,0,-0.241697111699781,0,0,0,0,0,0,0.0654367933840204,0,0,0,0,0.0144720355355211,-0.0827011932645737,0,0,0,-0.102102259130254,0.24642403889285,0,0,0,0,0,-0.177946534174777,0,0,-0.0641153998191038
