,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY
X1113.HK.EQUITY,0,0,0.0322123070787003,0,0,0,0,0.197637717640521,0,0,0,0,0,0,0,0.223372253379448,0.155779180962056,0,0,0.0690444038417398,0.0346684368561839,0,0,0,0,0,0.384312510958703,0,0,0.0812442688991766,0,0.107428964976022,-0.06841068790651,0,0,0,0,0,-0.0253575849906865,0,0,-0.0981883877998323,0,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,-0.0452556903864077,-0.245597984976375,0,0,0,-0.20071476245409,0,0,0,0.189936335699448,0,0,0,0,0,0,0,0,0,0,0,0,0.088492609436858,0,0.279221928588075,0.0344066542675653,0,0,0,0,0,0.48015891840023,0,-0.133715025104438,-0.0267939178152524,0,0,0,0.0432780143564291,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0.0368021835809239,-0.147263070454068,0,0.415390981725916,0,0,0,0,0,0,0,0,0,0,0,-0.176618443900881,0,0,0,0.0665058566717259,0,0,0,0,0,0.277913120119027,0,0,0,0,0.353273413815433,0,0,0,0,0.046050655991711,0,0,0,0,0,0,0,0,-0.180578902313928
X600048.CH.EQUITY,0,0,0,-0.0389638995178576,0,-0.0270290556328853,0,-0.0447619362580459,0,0,0.12472063996892,0,0,0,0,0,0.0156384296145101,-0.0117453532099546,0,0,0,0,0,0.200025394804154,0,0,0,0,0.397136372585821,0.107449032623274,0,0,0,0,0,0,0,-0.116588831658027,0.0399591714440396,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230987211947463,0.0156764479314092,-0.12610290810154,0,0.0464061331705871,0,0,0,0,0,0,0,0,-0.0833983757968846,0,0.106493175267547,-8.67361737988404e-19,0,0,0.0936666530804949,0,0,0,0.0514101880017111,0.287189602512257,0,0,0,0,0,0.674400582027296,0,0,-0.129700296813813,0
X001979.CH.EQUITY,0,0,0,0,0,0.0191171161904926,0,0,0,0,0,0,0,0,0.164971752642341,0,0,0,-0.129258008064748,0,0,0,0,0,0,0.0252041071637625,0.124133250661299,0,0,0,0,0.146221371108465,0,0,0,0,0,0,0,0,0,0,0.550587060109457,0,0,0.133047089699824,0,0,-0.131325293641404
X601336.CH.EQUITY,0,0,-0.17202010134119,0,0,0,0,0,0.238070760467569,0,0,0,0.0826879836086623,0.0586707025400849,0,0,0,0.13678798863521,0,0,0,0,0,0,0,0,0,0,0,0,0.0461215998801056,0,0,0,0,0.264863566337888,0,0,0,0.252220003065902,0,0,0,0,2.16840434497101e-19,0,0,0,0
X601211.CH.EQUITY,0,-1.73472347597681e-18,0,0,0,0.00100775455255646,0.0443844497649473,0,0,0,0,-0.0103857060343364,0.109949000529186,0,0,0,0,0,0,0,0,0,0.0306635766918483,0,0.447251857046878,0,0,0.100069444963627,-0.00318971622655417,0,0,0.0774657355443883,0,0,3.46944695195361e-18,0,0,0,0,0,0.010806911065363,0.00459597469928801,0,0,0,0,0.326703909273639,0,0
X601229.CH.EQUITY,0.443550315932945,0.0712643883774904,0,0,-0.0130905533489672,0,0,0,0,0,0,0,0,0,0.0258550124305343,0,-0.108164275242398,0,0,0,0,0.0764682257491049,0,0,0,0,-0.00112715347652355,0,0,-0.048858350623954,0,0,0,0,0,0,0,0,0,0.136796462174041,0,0,0,0,0,0,0.379189751837805,0.146965112483897,0
X1997.HK.EQUITY,0,0,0,0,0.0583087177073898,0,0,0,0,0,0,0,-0.0216812982083875,0,0,0.0801440201197704,0.0978096982098237,0.0809728650016898,0,0,0,0,0,0,0,0,0.0263302803189483,0,0.225552199346049,0.391488294613986,0.290436178274403,0,0,0,0,0,0,0,0,0,0,-0.0607030862199804,0,0,0,0,0,0,0
