,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X000001.CH.EQUITY,0,0,0,0,0,0.070502714867706,0,0,0.125143004776168,0,0,0,0,0,0,0,0,0.0956249940893406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13789810850367,0,0,0,0,0,0,0,0.0521156102942791,0.161205406654891,0,0,0.0782377460084759,0,0,0.0560955436280709,0
X2007.HK.EQUITY,0,0.27899162619312,0,-0.159705436655199,0.113068183539643,0,0,0,0,0,0,0,0,0,0.078785516467873,0.230604727360464,0,0,0,0,0,0,0,0,0,0,0.0897503553678429,0.214928567144246,0,0,0,0,0,0.123640582520745,0,0,-0.102610465381077,0,0,0.0242245525090162,0,0,-0.196845055334085,0.0178105976505533,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0.0703428591474199,0,0,0,-0.0410637723645989,0,-1.73472347597681e-18,0,0,0,0,0,-0.0247546415084544,0.154112452157946,0.242874067888932,0,0,0,0,0,0,0,0.0638981919828582,0,-0.0803036001273393,0,0.607763667006848,0,0,0,0.114580310308983,0,0.126164057962817,-0.122072259233418,0,0,-0.133081436907891,0,0,0,0,0,0
X1113.HK.EQUITY,-0.368858788566151,0.25794109309103,0,-0.0293959743263506,0,0,-0.03787927664232,0.102787084327907,-0.0346862147140271,0,0,0,0,0,0,0,0,0,0.0873866984324073,0,0.0961640996253441,0,-0.0280128620573365,0,0,0.0300998219422459,0,0,0,0,0,0,0.0663572805370227,0,0,0,0.0573999093599171,0,0,0,0,0,-0.130739243546473,0,0,0.2642936647515,0,0,0
X601818.CH.EQUITY,0,0,0,0.044065129787242,0,0,0.293521217028392,0,0,0,0,0,0,0.179411444716223,-0.187185877573809,0,0,0,0,0,0,0.272079779324528,0,0,0,0,0.0577132343308155,0,0,0,0,0,0.117880443348181,0.20426383621379,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134146382050585,-0.156121978414062
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.241767978328918,0.0893926702060451,0,0,0.0819076789976459,0,0,0,0,0,0,0,0,0,0.0829599273115073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332307392441991,0,0,0
X12.HK.EQUITY,0,0,0,0,0,-0.28525842982485,0,0.461140039639643,0,0,0,0,0,0,0,0,0,0.175522696355335,-0.237926846740403,0,-0.0119066238078041,0,0,0,0,0,0,0,0,0.301377232418751,0,0,0.571370845016055,0,0,0,0,0.2611034500858,0,0,0,0.0785743966167746,0,0,0,0.112226007823713,0,0,-0.107393801795993
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0437625544655564,0,0,0,0,0,0,0,0,0,0,0,0.573656890059792,0,0,0,0,0.030955201980168,0,-0.00433145170333062,0,0,0.018450159618875,0,0,0,0,0.113343692398612,0,0,0,0,0.00345701823180263,0,0,0.145470788297533,0,-0.100599483537747
X001979.CH.EQUITY,0.146903706936325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193555427744432,0,0,0,0,0,0,0,0,0,0,0,0.033838761684788,0,-0.0827650370254536,0.0544885291107882,0,0,0,0.190692517079816,0,0,0,0,0,0,0,-0.0547899038605195,0.0481904242567608,0,0,0.147985362195535,0.170019934688933,0
X601066.CH.EQUITY,0,0,0,0.0300088348522373,0,0,0,0,0,0,0,0.31760843677048,-0.175250469719688,0,-0.109437494960483,0,0,0,0.199487548615934,0,0,0,0,0,0,-0.0497440936585659,0,-0.0234949199475599,0.245574928089293,0,0,0.647899261230382,0,0,0,0,0,0,0,-0.0629364077807153,0,-0.126269724283894,0,0.0597920438199989,0,0,0,0,-0.049875995252687
X600048.CH.EQUITY,0,0,0.0794405504890372,0,0,0,0,-0.0122942876169672,0,0.129814763031496,0.0541260907362894,0,0,0.192247151826223,0,0.230384953740304,-0.184654839485037,0,-0.0287182128706068,0,0,0,0.35813322779299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274020217918007,0,0,0,0.167960793612161,0,0,0,0,0,0
X601211.CH.EQUITY,0,0.0328777921501426,0,0.00745759475560853,0,0,0,0,0.0424577105514547,-0.0185095241450247,0,0,0,0,0,0,0,0,0,0,0.0450765400555748,0,0,0.555115855039142,0,0,0,0,0.0430012198887423,0,0.0788845063229791,0,0,0.0231202985868999,0,0,0,0,0,0,0,0,0.0308225745917045,0.161745929822454,0,0,0,0.115321550518678,0
