,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY
X1113.HK.EQUITY,0,0,0,0,0,0,0.168987428680165,0,0,0.0553161202584364,0,0,0,0,0,-1.38777878078145e-17,0,0.156645165453966,0.0271672099899868,0,0,0,0,0,0,0,0,0,0.331859131981427,0,0,0,0,0,0,0.250022201200709,0,0,0,0,0,0,0,0,0,0,0,0.077057733159087,0.0163532681237703,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00795201826179869,0.064787466138345,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0.186534830372955,0,0.100662461985037,0,0.173177634928674,0.130228513951345,0,0,0,0,0,0.277368230850666
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0.0598374185357015,0.398006872112789,0,0,0,0.174912211186544,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.178330043705881,0,0,0,0,0,0,0,0,0,0.0476452081714091,0.0329366566953933,0,-0.0514365770752016,0,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,-0.03583614316633,-0.0340502736681563,0,0,0,0,0.0219289020509666,0,0,0,0.158261215549798,0,0,0,0,0,0.0407499938099708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400238468333416,0,0.15894544345265,0,0,0,0,0.11982038131266,0.0744817053438402,0,0.119242305951965,0,0,0.354141307433198
X12.HK.EQUITY,-0.0701210022998758,0,0,0,0,-0.13218922389955,0.219875461888199,-0.0104291657050295,0,0,0,0,2.77555756156289e-17,0.300080283395783,0,0,0,0.455668528978379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482253378644042,0,0,0,-0.2360705491441,0.315449749535043,0,0,0,0,0,0.0829182146933481,0,0,0,0,-0.0543087751075295,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182604069374111,0,0,0,0,0,0,0,0,0,-0.0752425291064366,0.150743633559513,0,0,0,0.0436812224408456,0.222812461142451,0,0,0,0,0.331118850248768,0,0,0.104559908269322,0,0,0,0,0,0,0,0,0.0553765227000465,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0710156924585114,0,0,0,0,-0.0672347704877021,0,0.304212818978198,0,0.170972205215308,0,0,0,0,0,0,0,0,-0.0195546053691566,-0.0999289355450857,0,0,0,0,0,0.348811612203619,0,0,0,0,0,0,0,0,0,0.285236517420749,0,0.0687790279306763,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0409937180853362,0,0,0,0,-0.0196054949648473,0,0,0,0,0,0,0.0800751169231816,0,0,0,0.0503717917677426,0,-0.123620883153591,0,0,0,0,0.409759280954943,0,0.0276990692780478,0,0.0577196853895275,0,0,0,0,0,0,0,0,0,0.0648871033028305,0,0,0.351808065476992
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0.133777036038152,0.0386646841035549,0,0,0,0.171629558324918,0,0,0,0,0,0,0,0.0601993801006908,0,0,0,0,0,-0.140905019523839,0,0,0,0,0,0,0,0,0,0.0210328082539098,0,0,0,0,0,0,0,0.667794084582641,0,0,0.0481667734767074,0
X300059.CH.EQUITY,0,0,0,0,-0.0446898938347686,0,0,0.14776943678395,0,0,0,0,0,0,6.93889390390723e-18,0,0.498001157819922,0,0,0,0,0,0,0,0,0,0,0.0285811270732506,0,0,0,0,0.256611545482114,0,0,0,-0.0407837921977396,0,0,0,0,0,0,0,0,0,0.0510462014025133,0,0,0
X601336.CH.EQUITY,0,0,0.0849653429267842,0,0,0.115352538532996,0,0,0,0,0,0.00169809751550773,0,0,0,0,0,0,0.146737410308022,0.150209583767568,0,0,0,0,0,0,0,0,0,0.0257754064865708,0.0453202878543023,0,0,0.0489124291306016,0,0,0,0,0.201608421073044,0,0,0,0,0.16368363377964,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.0247282245001538,0,0,0,0,0,0,0,0,0,0.403625566849373,0,0,0,0.0372020896549535,0.00523481565406065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136359011449683,0.133084342668262,0,0.0498309148170327,0,0,0,0,0,0,0,0,0,0.19413484298641,0,0,0
X600999.CH.EQUITY,0,0,0,0,0.0532239635232445,0,0,0,0,0,0,0,0,0,0.0353263194941469,0,0.192881605439847,0.011347283407165,0,0,0,0,0,0.0577375881670067,0.03455451092085,0,0,0,0,0,0,0,0.156570548417585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238696356963897,0,0.00843581785371557,0.204441940586041
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.109011936985996,0,0,0,0,0,0,0,0.0729044453832378,0,0,0,0,0.100573991860141,0,0,0,0,0,0,0,0.0456285411741702,0,0,0.0911833977445956,0,0.226971466547337,-0.00790661469953698,0,0,0,0,0,0,0,0.373914691283559,0.00601729036399332,0
X2881.TT.EQUITY,0,0,0,0,0,0,0.150734355168013,0,0,0,0,8.67361737988404e-19,0,0,-0.131540456569225,0,0,0,0.0242527577257345,0.136212327257061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.328735646724176,0,0,0,0,0,0,0,0,0.407116635517297,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.0172233370810846,0,0,0,0,0.0407742929120273,0,0,0,0.148648664867987,0,0,0,0,0,0,0,0.0175284863908202,0,0,0,0,0,0,0,0,0,0.00686797397245001,0,0,0,0.324288328363062,0.0362163159609002,0.23601364888083,0,0,0.25388591064359,0,0,0,0,0,0
X600015.CH.EQUITY,0.108405731436494,0.111902617336188,0,0,0,0,0,-0.0515083164524908,0,0,0,0.490407074114987,0,0,0,0,0,0,0,0,0,0,0,-0.0352197968424902,0,0,0,0,0,0,0,0,0,0.028618630580517,0,0.30592924844227,0,0,0,-0.0404425906471773,-0.0131394149468395,0,0,0,0.0525531116692556,0,0,0,0.00505099292982933,0
X2886.TT.EQUITY,0,0,0,-0.436178448958329,-0.0863847906254604,0,0,0,0,0.162285353132875,0,0,0,0,0,0,-0.146028708089455,0,0,0,0,0,0,0,0,0,-0.0276411862214025,0,0,-0.0142640556009524,0,0,0,0.241335204880849,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.697207645676558,0,0.477112275880512,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223370259510627,0,0,0,0,0,0,0,0,0.0111540201266496,0.00568967411115428,0,0,0,0,0,0.0895239574529482,0,0.0277836045415518,0,0,0,0.373884063296509,0.0144933230625612,0,0,0.0450203186378558,0,-1.73472347597681e-18,0,0.134294980146783,0,0,0
