,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X600958.CH.EQUITY,0,-0.0662644282225687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626862776785024,0,0,0,0,0,0,0.183712964534647,0,0,0,0,0.16695936918656,0,0.186049811908573,0,0,0.0940564917597899,0.0626826628302556,0.258690513405214,0.0443000588855839,0,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0.0514796969949634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339442111826476,0,0.225351767731325,0,0,0,0,0,0,0.0615776872745904,0,0.0756548071571647,0,0,0,0.0143170719651711,0,0.111092309894219,0,0,0,0,0.0118282991173214,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,-0.107317215968009,0,0,0,0,0,0,0,0,0,0,0,0,0.0868091393413182,0,0.019278873228301,0,0,0,0,0.439561574816395,0,0.032412140649042,0,0.233274852834439,0,0,0,0,0.17947813258452,0,0,-0.144046782898305,0,0,0,0,0,0.133729972187407,0,0,0.0430207798864297,0.0372517410244268,-0.0982950742757211,-0.0287151589077456
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.198033137837607,0,0,0,0,0,0,0.128745762028578,0,0,0,0,0,0,0.0274604436329019,0,0.32786638541602,0,0.0149403163779807,0.179326959195797,0,0.110985143513511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601236.CH.EQUITY,0,0,0,0,0,0.0741517256444503,0,0,0,0,0,0,0,0,0,0,0,0,-0.245641329397898,0,-0.0156611892816602,-0.388736502036505,0,0,0.135877965838379,0,0,0,0,0.679814310340369,-0.0466347498291761,0,0.226746644273484,0,0.136892008310798,0,0,0,0,0,0,-0.0706396231527387,0.190690768007443,0,0,0,0,0,0,0.104325207658372,0,0
X601688.CH.EQUITY,0,0,0,0,0.0245752705483062,0,0.0491001477828477,0.0947720516159604,0,0,0.198239381191116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108872735651517,0.0151948257714936,0.25369573482874,0.045837481842856,0.107317781448604,0,0,0,0,0.0190949628502565,0,0,0,0,0,0,0,0,0,0,0,0,0
X601881.CH.EQUITY,-0.235106758134355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101521018997413,0,0,0,0,0,0.108038141127999,8.67361737988404e-19,0,0.40154527294146,0,0.122130921320228,0,0.0318081224976349,0.47263251030321,0,0.0246022058114544,0,0,0,0,0,0,0,0,0,0,-0.0626298986768993,0.0323756937179655
X601696.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.286152160055762,0,0,0,0,0,0,0.236152212183866,0,0,-0.0187484917881423,0,0,0,0,0,0,0,0,0,0,0,0,0.0131642786639113,0,0.247835745066085,0,0,0,0,0.0553787639911392,0,-0.108070261164476,0,0,0.0820671257940929,-0.0750428336524003,-0.133157754349983,0
X388.HK.EQUITY,0.0352391261308307,0,0,0,0,0,0,0,0,0,0,0,0.00451910280200267,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0559892334129077,0,0,0,0,0,0,0.219440287954642,0,0,0,0,0.46102638590228,0,0.0150986890207232,0.0122618587775889,0,0
X601318.CH.EQUITY,0,0,0,0.00339716437807902,-6.93889390390723e-18,0,0,0.0243944813620871,0.271675478258327,0.15423874200675,0.178995964428867,0,0,0,0,0,0,0,0,0,0,0.0461303387634369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200691933737091,0,0
X601319.CH.EQUITY,0.0789152717730373,0,0,0,0,0,0,0,0,0.108936912376515,0.141528549194153,0,0.219950908303771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11952176946978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197779550449648,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0.417833000877665,0,0,0,0,0.0164652628435754,0.0973658389581367,0,0,0.12179111911649,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0171927386195278,0,0,0.219489354109,0,0.000317116591675094,0,3.46944695195361e-18,0,0,0.0270603357198939,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.0216296414490359,0,0,0,0,0,0,0,0,0,0,0.314942384762918,0,0,0,0.00120166785474676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333975244743376,0,0.0517202326442062,0.0920089049800157,0.0353768042950292,0.0473788764764371,0,0,0
X601628.CH.EQUITY,0.0881844957530158,0,-1.0842021724855e-19,0,0,0,0,0.0598131142241309,0,0.150829207336689,0.148131765146536,0,0,0,0,0.0444168412347557,0,0.128428728718908,0,0,0,0,0,0,0,0.0274915773000208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122192910329565,0,0,0,0,0,0.0549865495374058,0
X1299.HK.EQUITY,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995901841185113,0,0,0.214146443834893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324522669055936,0,0.417775067362985,0,0.0391794177678648
X2881.TT.EQUITY,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.0532650954017392,0,0,0,0.109372107749106,0,0.400924222087768,0,0,0,0,0,0,0,0,0,0,0,0,0.015751449535555,0,0,-0.026003937057372,0,0,0,0,0,0.256855398579334,0,0.170240120079365,0,0.123282735245973,0.0946325008525206
X2882.TT.EQUITY,0,0,0.155848343902448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841832259332884,0.193509933708383,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104113381257024,0,0.109267903874472,0,0,0.419639298942738,0,0,0.0623957903046728,-0.117194882365163
X267.HK.EQUITY,0.121598289487191,0,0,0,0,0,0,0,0.0879011258969297,0,0,0,1.38777878078145e-17,0,0,0,0.255608200258985,0,0,0,0,0.165343011444281,0,0,0,0,0,0.135020850132776,0,0,0,0,0,0,0.0900819036936033,-1.73472347597681e-18,0.00286221507284265,0,0,0,0.0343373622086072,0,0,0,0,0,0,0,0,0,0,0.0525106538911836
MKRturn,0,0.256237683993249,0,0,0,0,0,0,0,0.13667594427592,0,-0.318044504423288,0,0,0,0,0,0,0,0,0,0,0.251924668669342,0.374739345148444,0,0,0,0,0,0,0,0,0,0,-0.894833563797715,0,0.037068368970022,0,0,0,0,0,0,0,0.667043804013945,0.0949898749654611,-0.647080822225848,0,0,0,0,0.217538611347664
RealEstateDiff,0,-0.0921984713498627,0,0,0,-0.0157719584430302,0,0,0,0,0,0,0,0,0,0,0.333128380184356,0,0.490629650109478,0,-0.132103505543948,0,0,-0.2933306989573,0,0,0,0,0,0,0,0,0,0,0,-0.333941092431513,0,0,0,-0.0808943396443383,0,0,-0.236521204140424,0,0,0,0.309922326615714,0.233900352705228,0,0,0,0
