,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X601077.CH.Equity,0,0,0.180785144201711,0,0,0,0,0,0,0,0.135849372495208,0.221212956723926,0,0.338439809015095,0,0,0.0350555406568863,0,0,0,0,0.0180585115623857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,-0.129129889407192,0,0,0,0,0,0.476908225188936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.531282671023541,0,0,0,0.356928601522354,0.454326886443614,0,0,0.146601028945382,0,0,0.0518110593899002,0,0,0,0,0,0,0,0,0,0,0.144708131961567,0,0,0,0.0219347141164992,-0.0618202682446228,0,-0.182912718664214
X2388.HK.EQUITY,0,0.0295392632535084,0,0,0,0,0,0,0,0.109978024261774,0,0,0,0,0,0,0,0,0.392481501287787,0,0,0,0.12461081582493,0,0,0.0376396534497125,0,0.21276030104621,0,0,0,0,0,-0.0739620913848587,0,-0.152219469077499,0,0,0,0,0,0,0,0,0.0542520507174498,0,0,0,0,0,0.0559584160794659,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615878425265025,0,0,-0.0680303066470133,0,0,0,0,-0.138057480289152,0.252031441956228,0,0,0,0,0,0,0,0,0,0,0,0,0.111177959866365,0.269676806972016,0.0942930904200428,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15343185710296,0,0,0,0,0,0,0,0,0.00669327419842916,0.0548845690378808,0,0.131754078038633,0,0,0.321130711505906,0.0716451509707035,0,0,0,0.0282502030310307,0,0,0,0,0,0,0,0,0.0562055249136507,0,0.129962762336154,0,0,0
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127118218318635,0,0.239673609860203,0.0611711554872881,0,0,0.274124710320048,0,0,0,0,0,0,0,0,0,0,0,0.0875356506191718,0,0,0,0,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0744617517072346,0,-0.0825408548869496,0,0,0,0,0,0,0,-0.055227111069426,0,0,0.0402153248162402,0,0,0,0,0,0.22207476221122,0,0.332736373409734,1.73472347597681e-18,0,0,0,0,0,-0.0318089501643139,0,0,0.0665532155992207,0,0,0,0,0,0.0468525551650861,0,0.042723971409944
X2891.TT.EQUITY,0,0.101822890920316,0,0,0,0,0,0,0.0375024338394766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948490064956111,0,0.127943506597861,0,0,0.394309683801961,0,0.03354771271586,0,0,0,0,0,0,0,0,0,0,0,0,0.276155692334796,0,0.00765241507202017,0,0.0476388241423933
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0.00783925966640475,0,0,0.0335759333886878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746028644940812,0.281605522772441,0.114563216110606,0.121111542042086,0,0.448810246291901,0,0,0,0,0,0,0,0,0,0,0.0621510902374636,0,0,0,-0.064989753917125,0.0629615237154514,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167142299324236,0,0,0,0,0,0,0,0,0.00430401233248206,0,0,0,0.417585032665186,0,0,0,0.0576706052435766,0,0,0,0,0,0,0,0,0,0,0,-0.0246594017867224,0,0,0.0987483331950269,0,0.0368323437669664,0,-0.13733241591509
