,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,macro_return_add
X600048.CH.EQUITY,0,0,0,0,0,0,0,-0.0268132346777566,0,0,0.278510721533439,0,0,0,0,0.324741153400368,-0.166554620353839,0,-0.00987112479229845,-0.016415254091102,0,0,0.397386802681907,0.268313587801411,0,0,0,0,0,0,-0.0574940042640517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469327352197189,0,0,0,0,-0.176145344509523
X601688.CH.EQUITY,0,0,0,0,-0.00284049284340617,0,0,0,0,0.0271891174961391,0,0,0,-0.0823865853130922,0,0,0,0,0,0,0,0,0,0.497313889612148,0,0,0,0,0,0,0,0.0117511161450664,0,0,0,0,0.0929690283297931,0.0386647952205837,0.136985539764084,0,0,0,0,0.0823199292180449,0,0,-0.0675937294877362,0.161110442544836,0,0.031635905047724
X1997.HK.EQUITY,0,0,0.0397454741140895,0.263808823725379,0,0,-0.159855498475531,0,0,0,0,0,0,0.12538478308085,0.188026370087149,0,0,0,0,-0.0377101360655035,0,0,0,0,0,0.193057943041058,0,0,0,0.347822587466342,0.148711451005621,0,0,0,0,0,0,0,0,-0.106321122439661,0,0,0,0,-0.0679056454460981,0.157071736956066,-0.0734335155222733,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.134691905694099,-0.074543205539055,0.0459930637911822,0,0,0,-0.0405020300966233,0,0,0,0,0.339641200724918,0,0,0,0,-0.00336064029081939,0.0623745261546304,0,0,0,0,0,0,0,0.00769813455243933,0,0,0.0943908825319326,0,0.0234383038129058,0.0355192214068701,1.73472347597681e-18,0,0,0.125153185895458,0.369578691713572,0
X601336.CH.EQUITY,0,0,0,0,0,0,0.0474166730941469,0.167759097452027,0,0,0,0,0.243564488935787,0,0,0,0.00730843525395219,0.0667889413177301,0,0,0,0,0.0934154493780967,0,0.28806611159974,0,0,0,0,0,0,0,0,0.0606412060709612,0,0,0,0,0,0,0,0.0718885312341245,0,0,0,0,0,0,0,0.0350563081819112
X601066.CH.EQUITY,0,0,-0.144233519613176,0,0,0,0,0,0,0,-0.211383749074673,0,0.359205832456016,0,-0.021568659279289,0,0,0,0,0.376689981676726,0,0,0,0,0,-0.0717702509822261,-0.17215383112261,0,-0.0876491201236602,0,0,0,-0.0272253004252213,0,0,0,0,0,0,0,0,0,0.224359203918568,0.0476619132882461,0,0,4.33680868994202e-19,0.14093136258586,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.444267784814329,0,0,0,0,0,0,0,0.071543046483003,0,0.103975424372244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0988791122228503,0
X601229.CH.EQUITY,0,0.0255052608294557,0,0,0,0,0.248320172466517,0,0,0,0,0.368061181229246,0,0,0,0,0,0,0,0.0773960701541772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388660819720291,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.30120576126522,0,0,0.19023941481509,0.0808186412142881,0.0222473593866005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070815138730136,0.0697357443222046,0,0,0,0,0,0,0,0,0,0.374679180018651,0,-0.101274224699629,0.146471426652311,0,0.0811171673998795,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.0114457589070166,0,0.0855932602502771,0,0,0,0,0.146976578244583,0,0,0,0,0,0,0,0,0,0,0,0.131385664172415,0,0,0,0,0,0,0,0,0.273517259256631,0,0,0.168753885428774,0,0,0,0,0,0,0,0,0,0,0,0,0.0526755647869542
X600015.CH.EQUITY,0,0,0.141974791262164,0,0,0,0.314585817552415,0,0,0,0,-0.378893679452792,0,0,0,0,0,0,0,0,0,0.202939530799528,0.544832719534717,0,0,0.0255594153792688,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0751697357248495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163129076935061
X000166.CH.EQUITY,0,0,0,0,0,0,-0.0528987305160311,0,0,0,0,0,0.156686556820412,0.0984605956398417,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.0309072071973616,0,0,0.494189439618605,0,8.67361737988404e-19,0,0.0629291619816794,0.0708947075371906,0,0,0,0,0,0,0,0,0.27970897714804,0.104297830954069,0
X2882.TT.EQUITY,0.186433076480924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146017707690227,0,0,-0.0396347689445378,-0.0939701809622918,0,0.00915831853772386,0,0,0,0,0,0,-0.13558995301937,0,-0.0967529073640592,0.00774338773668808,0,0,0,0,0,0,0,0.294683026386251,0,0,0,0,0,0.994396663592096,0,-0.0679809817413329,0
X17.HK.EQUITY,0,0,0,0,0.22560739717054,0,0,3.46944695195361e-18,0,0,0,0,0,0.05101008268482,0.286119977923349,0,0,0,0,0,0.0517740592593874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337062213146888,0,0,0.162911651264797,0,0,0,0,0,0,0.00224803165415455,0,0,0,0,0
X2881.TT.EQUITY,0.0091285216312331,0,0,0,0.0718757137604165,-0.220114983665461,0.153333978554858,-0.0818668857686951,0,0,0,0,0,0,0,0,-0.0306463304959677,0,0,-0.0410425667029907,0,0,0,0,0,-0.0399125457453376,0,0,0,0,-0.185039233324991,0,0,0,-0.0362861171647969,0,0.0445956366083819,0,0,0.0351182469712626,0,0,-0.0467286161862195,0,0.828677873810125,0,0,0,0,0
X002736.CH.EQUITY,0,-0.102239678607361,0,0,0,0,0,0,0,0,0,0.0137149477168308,0.109325447255606,0,0,0,0.0276039058855055,0,0,0,0,0,0,0.719851969041394,0,0,0,0,0,0,0,0,0,0,0,0.174300404349997,0,-0.057685063300165,0,0,0,0,0,0,0.00677021150158899,0,0,0,0,0
X600999.CH.EQUITY,0,0,-0.0113091122908542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00557958214850194,0.1378617543607,0,0,0,0,0,0,0,0,0,-0.0709088376752376,0,0.0239145615905109,-0.0313555125410871,0,0,0,0.557581374869624,0,0,0.160669657191559,0,0,-3.46944695195361e-18,0,0.281629475447691,0,0,0,0,0,0
macro_return_add,0,0,0,0,-0.280004720499803,0,0.00565932009314702,0,0,0,0.0965064209977653,0,0,0,0.0113172829256787,0,0,0,0,0,0.107556890666812,0,0,0,0,0,-0.11884894110693,0,0,0,0,0,0,0,0,0,0.409620725763632,0,0,0,0,0,0.27863339118057,0,-0.11830115811551,0,0,-0.0920380489808916,-0.174442122720387,0
