,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601998.CH.EQUITY,0,0,0,0,0.279558313058894,0,0.292842406226935,0.137413147516482,0,-0.131324210538403,0,0,0,0,0,0.095517972979806,0,0,0.12365654392382,0,0,0,0,0,0,0,0,0,0.501288112248802,0,0.0163517220919995,0,0,0,0,0,0,0,0,0,-0.0498060815871885,0,0,0,0.0849150367220127,0,0,0,-0.089519059232208,0,0
X002142.CH.EQUITY,0,0,0,0.14493077614428,0,0,0,0,0,0.0530994408712962,0,0,0.0863332780695012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157602034333511,0,0.104435040682577,0,0,0.295243095666515,0,0,0,0,0,-0.060074515018243,0,-0.0163266637096625,0,0,0.0527463157815509,0,0,0,0,-0.0367919168561777
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0952179509122039,0,0,0,0,0.546438507217427,0,0.0975558409182079,-0.141112582772547,-0.0479063120752246,0,0,0,0,0.0901832104913303,0,0.0685916221853638,0,-0.0572204795761939,0,0,0,0,0,0.104335642801703,0,0,0.234362284797839,0,0,0,-0.0911411935269507,0,0,0,0,0,0,0.240904717488959,0,0
X601818.CH.EQUITY,-0.0609237580337903,0.128946109827136,0,0,0,0,0,0,0,0.283032059062035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289742857637733,0.135698115892796,0,0,0,0.191932442876278,0,0,0,0,0,0,0,0,0.0956900061652218,0,0,0,0,0,0.0215904189828069,0,0,0,0.0273305425036686,-0.104047297278942
X1109.HK.EQUITY,3.46944695195361e-18,-0.128660397263995,0,0,0,0.0165273016445738,0,0,0,0,0.0278644842864993,0,0.18735327008763,0,0,0,0,0,0,0.351792121234179,0,0,0,0,0,0,0.0736542783204687,0,0,0,0,0.185450970502082,0.258952718577603,0,0,0,-0.0157205251484598,0.0274695895482205,0,0,0,0,0,0,0,0,-0.0388312609332299,0,0,0.068289266049024,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0.0628924722207612,0,0,0,0,0,0,-0.114109665236077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341623458679335,0,0,0,-0.204185287425124,0.168202235568245,0.00840669345686147,0,0,0,0,0,0,0,0,0,0.20941346471202,0,0.365143901543116
X600999.CH.EQUITY,0.00233640970808585,0,0,0.181857007049597,0,0.135742237038109,0.0847048248235895,0,0,0,0,0,0,0.274187542840535,0,0,0,0,0,0,0,0.028819503613253,0,0,0,0,0.123997143703041,0,0,0.133160147448692,0,0,0,0.0740936362971746,0,0,0,0,0,0,0,0.00963270780819085,0,0,-0.080065333031405,0.0385513953498223,0,0.0500892309201785,0,0,-0.161402597667668
X688.HK.EQUITY,0,0,0.239957337144924,0,0,0,0,0,0,0,0,0,0,0,0.0654964063732959,0,0,0,0,0.100988080533614,0,0,0.0927078719395482,0,-0.144672270114792,0,0,0,0,0.455515927280616,0.279002346622941,0,0,0,0,0,0,0,0,-0.151863934359189,0,0,0,-0.0824998564509067,0.0908299229111372,0,0,0,-0.234963674466545,0,-0.230184638945619
X601688.CH.EQUITY,0,0,0,-0.0590539466689612,0,0.0107220665238195,-0.0685880039573601,0,0,0,0,-0.09072063273106,0,0.273480740621098,0,0,0,0,0,0,0,0.0358541204125077,0,0,0.337241875383591,0,0,0,0,0.0234920930771263,0,0,0,0,0.127232294010774,0.42403416423846,0,0,0,0,0,0,0,0,-0.047382839808413,0,0,0,0.0721338463652783,0,0.0101861214872186
X601336.CH.EQUITY,0,0,0,0,0,0.546955479206583,0,0,0,0,0.0183280841111366,-0.0544954220863429,0,0,0.081593834499378,0,0,0,0,0,0.192080358711633,0,0,0,0,0,0,0,0,0,-0.0782546704808818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00968282174113175,0,0,0.190880598921122,0,0
