,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,macro_return_add
X688.HK.EQUITY,0,0,0,0,0,0.0207107261962757,0,0.0485050840651535,0.139229020159471,0,0,0,0.0288684072211552,0,0,0,0,0,0,0,0,0,0,0,-0.0777077607998863,0,0.604820306391466,0,0.0102852147087663,0,0,0,0,0,0,0,0,0,0,-0.0241128352524731,0,0,0.263853919414595,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.13868458303264,0,0,-0.0551692121103396,0.0229798655724314,0.0152076392281269,0,0,0,0,0,1.0842021724855e-19,0,0,0,1.07991130860839,0,0,0,0,0.0896198141147217,0,0,0,0,0,0,-0.199996198328893,0,0,0,0,0,-0.156191628143972,0,0,0,0,0,-0.147942452029847,0,0.0658514103897774
X600016.CH.EQUITY,0,0.133773903001383,0.130715737885678,-1.73472347597681e-18,-3.46944695195361e-18,0,0,0,0,0,0,0.15928740752813,0,0.0332876402205886,0,0,0,0,0,0,0.0182807999628893,0,0,0,0,0,0,0,0.131367271333939,0,0,0,0.030443953255998,0,0.0799753332666438,0,0,0,0,0,0,0,0,0,0,0.122711352121308,0.194090077548314,0,0,0,0
X601998.CH.EQUITY,0,0.0314591702403957,0,0,0.0063423560509504,0,-0.0585735498329317,0,0,0,0,0,0,0.136473390422122,0,0,0,0,0,0,-0.127121141585945,0,0.251786713031023,0,0,0.00688834604740505,0,0,0,-0.0528643029993075,0.101930902962628,0,0,0,0,0,0.115589290506849,0,0,0,0,0.185650766986179,0,0,0,0,0.324311733690117,0,0,0,-0.0428440141642552
X2388.HK.EQUITY,0,0,0.117949219097152,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0215981846433702,0,0,0,0,0,0.481231064333214,0,0,0,0,0,0.0870244868884601,0,0,0,0,0,0.262595952463313,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0446208132015127,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,-0.0977843175156128,0,0.0110760292511964,0.226943455371911,0,0,0,0,0,0,0,-0.136564847347843,0,0,0,0,0,0,0,0,0,0,0,0.0421180073946801,0,0,-0.0656296797628457,0,0,0,0,0,0,-0.089461039139702,0,0,0.227757429569122,0,0,0.0160995593581892,0,0,0,0,0.88281049206144,0,0,-0.0392272317712075
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.252188119028139,0,0,0,0,0,0,0,0,0,0.0723113662773677,0.190834621583465,0,0,0,0,0.245161545135052,0,0.0369607616628137,0.509658975620775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0570868519935913,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0.0178711066111938,0,0,0,0.051825716961266,0,0,0,0,0,0,0,0,0,0.123009595308901,0,0,0,0.0979401067023004,0.0784842404567539,0,0,0.122821543223821,0.0278232341013618,0.174923079704331,0,0.0952348650666257,0,0,0,0,0,0,0,0,0,0.0474059100503387,0,0,0,0,0,0,0,0,0,0.220718897592598,0,0
X2007.HK.EQUITY,0,0,0,0,0.110882667469588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934558831508312,0,0,0,0.125095647090803,-0.0102559979139182,0.318161195125817,0,0,0,0,0,0,0.121564218665986,0,0,0.140191239545854,0,0.028733364597501,0,0.110978671092867,0,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.183221251443135,0.172067176588241,0,0,0,0,0,0,0,0.143572042762377,0,0.050204533553973,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.220902311654655,0,0,0,0,0,0.0173232485211923,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0.040411123553552,0,0,0.138865941545464,0,0,0,0.325782340507891,0,0,0,0,0,0,-0.031234778525671,0,0,0,0,0,0.447212877689162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00538371662230772,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.183665198459942,0,0,0.0918726434090159,0,0,0,0.0867580029752995,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263355386760529,0,0.153451779858202,0,0,0.21817253976667,0.0950800968991794,0,0,1.73472347597681e-18,0,0.0146536632086902,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0.118731604372733,0,0,0,3.46944695195361e-18,0,0,0,0,0.311077620496666,0,0,0,0.0448506297306659,0,0,0,0,0,0,0,0.0127795379165837,0,0,0,0,0.445612325171404,0,0,0,0,0,0,0,0,0.0932497292124215,0,0,0,0,0,0,0,-0.00219604978204742
