,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.501736924379317,0,0,0,0,0,0,0,0,0,0,0.0827878721512508,0,0,0,0,0,0,0,0,0.0439812768298985,0,0,0,0,0,0,0,0.0181785353954221,0.184209783351823,0.119264928989388,-4.33680868994202e-19,0,0,0,0.0418836149892659,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.330938615485758,0,0,0,0,0,0,0,0,0,0.141696836677737,0,0,0,0,0,0,0,0,0.131517015226427,0,0,0.0148930628821095,0.244727217172711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132528530781235,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.0394849674790663,0,0,0,0.459191746080352,0,0,0,0,0,0.149455295400642,0,0,0,0.0395013264620036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343326367921261,-1.73472347597681e-18,0,0,0,0,0.131840693123334,0,0.0725454288601224,0,0,0.133950254582524,0,0.0317825813523488
X000002.CH.EQUITY,0.21512764308881,0,0,0,0,0,0,0,0,0.00465307740074686,0.0273106559736014,0.0103966336838829,0,0,0,0,0,0,0.0296706123132095,0,0,0,0,0,0,0,0,0,0,0,0.519367887744877,0.0118977627358032,0,0,0,0,0,0,0.20014988413668,0,0,0,0,0,0,-0.184299394247181,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0.0253668774452884,0.188114141943309,0,0.0421816081081925,0.152651164121624,0,0,0,0,0,0,0,0.00264587948600048,0,0,0,0,0,0,0.307211739744086,0,0,0,0.00505308558918953,0.0180286450478001,0,0,0.172889348677112,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0
X16.HK.EQUITY,0,0,0,0.0544487301926799,0,0,0,0,0,-0.131845489959002,0,0,0,0,0.176480837876298,0,0,0,0,0,0,0,0.31455135253337,0,0,0,0.0328005956985214,0,0,0,0,0,0.173502091560386,0,0.0488140681754085,0,-0.0777345686472602,0,0,0,0,0,0.125731782112081,0,0,0,0,0,0.167975362906533,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.230910343823397,0,-0.144979517831405,0,0,0,0,0,0.0109232474514888,0,0,0,0,0.105483248905384,0,0,0,0,0.0837032824882133,0.0480070650577743,0,0,0,0.254744010217029,0,0,0,0,-0.0343982829704438,0,0.256501431761372,0,0.0909788220639121,0,0,0,0,0,0,0.153771021062267,0,0,0.0316565586558712,0,0
X11.HK.EQUITY,0,0,0,0.0796308799202863,0.0036308744534717,0,0,0.238704445967542,0,0,0,0,0,0,0.0644866417538761,0,0,0,0,0,0,0,0.427227882681912,0,0,0,0,0,0.0725446847381103,-0.0391249024791345,0,0.0450617056552699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0178434105341757
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.143095266661056,0.397639479432134,0,0,0.0450393974958469,0,0.0943952773555282,0.0766890484452994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00691511570093438,0,0,0,0,0,0.209543875909945,0.0898332366465821,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209947810608734,0,0,0,-0.0713823152998007,0,0,0,0,0,0,0.17971080219126,0,0,0,0,0,0,0,0,-0.0991556052030742,0,0.0816760775537042,0,0.609327565630749,0,0,0,0,0,0,0,0,0,0.00622914544137625
X688.HK.EQUITY,0,0,0,0.0141342472980269,0,0,0,0,0.169624356639285,0,-1.38777878078145e-17,0,6.93889390390723e-18,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.674454583189316,0,0,0,-0.0210706488548801,0,0,0,0,0,0,0,0,0.146382505969918,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229495314461935,0,0.139763210774706,0,0.4355094392651,0,0.0925269116744283,0,0,0.040255208923613,0,0.0130112506652484,0,0,0,0,0.165082746920277,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0575389307480565,0,0.024887306075866,0.0561747605082476,0,0.370524997969943,0,0,0,0,0,0,0,0.0918163082554797,0,0,0.0800588419558158,0,0,0.117813519406993,0,0,0,0,0,0,0,0,0,0,0.0408871789754954,0,0.0632361236568154,0,0,0,0.094180415406419,0,0
X600016.CH.EQUITY,0,0,0,0.0343058070201496,0,0,0,0,0,0,0.468570930290113,0.028525106794062,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0462460826313727,0,0,0,0,0,0,0.268118844854275,0,0,0,0,0,0.153187568398769,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0.057443977067073,-0.00764298465058589,0,0,0,0.0859167069588247,0,0,0,0,0,0,0,0,0,-0.139397427920984,0,0,0.165049297063893,0,0,0,0.0594817430998807,0,0.1506886111982,-0.0732224137199338,-0.106411096044574,0.123439331130362,0,0,0,0,0,0.133722834088661,0,0.114581094145964,0,0,0,0.42131040694482,0,0,0,-0.0047913553017139,0,0
X267.HK.EQUITY,0,0,0,0,0,0.0150968643364072,0,0,0,0,0,0.0211291841346201,0.062017053962188,0,0,0,0,0,0,0,0.111950304417299,0,0.192292060796287,0,0,0,0,0,0.250684468215593,0,0,0.138596375714061,0,0,0.162840383401268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.263639210239014,0,0,0,0,0,0,0,0,0.146717420796181,0,0.109323758856795,0,0,0,0,0,0,0.137134226456082,0.733312655496161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134990990353693,0,0,0,0,-0.020362787491817,0
X601066.CH.EQUITY,-0.0322686669893149,0,0,0,0,0,0.0941473966445006,0,0.260529355796322,-0.11893297669139,0,0,0,0.118161315232944,0,0,0,-8.67361737988404e-19,0,0.01161639495298,0,0,0,0,0,0,0,0,0,0,0,0,-0.125203932925412,0,0,0,0.0238864746490961,0.668643147083583,0,0,0,0,0,0,0,0.231862094062224,0,0,0,-0.0616711591105592,0
