,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X601077.CH.Equity,0.0013012411471965,0,0,0.172468054998252,0,0,0,0.0221776005002901,0.00522854404504128,0,0,0.165808482428681,0,0,0,0.142475241130315,0.128692805511916,0,0,0,0.0709864019539751,0,0,0,0,0,-0.0125950851077867,0,0,0,0,0,0,0,0,0,0,0.192301851685944,0,0,0,0,0,-8.67361737988404e-19,0,8.67361737988404e-19,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.130187888953644,0,0,0,0.00333871865784081,0,-0.0303081755956409,0.215504158178807,0,0,0,0,0,0,0.0620421860576003,0,0,0.605839671716297,0,0.0407784481845661,0,0,-0.146105682783805,0.146524757526907,0,0,-0.0139564920815621,-0.0136373212960441,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.0605809611300173,0.0949530962446736,0.0630612242420808,0,0
X2388.HK.EQUITY,0,0.0615555218804556,0,0,0,0,0,0,0,0,0.0388110022711102,0,0,0,0,0,0,0,0,0,0,-0.0662097875481819,0,0,0.449696279179783,0,0,-0.185341417197631,-0.00830949938445313,0,0.354743879084514,0.0971341516400692,0,-0.103468708124305,0,0,0,0,0,0,0,0,0,0,0.0325754021569354,0,0,0,0,0,0.0126007960057492,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0919485543239803,0,0,0,0,0.0319259682692564,0,-0.174599205291101,0,0,0.0566009190808609,0,0,0.170675116172999,0.0939002792552115,0,0.0858141947135343,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.179275968988802,0,0,0,0,0,0,0.0782064828712747,0,0,0,0.0924130401609981,0.600874604635953,0,-0.0296391248247733
X2801.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0114359672627699,0,0,0,0,0,0.148730185563776,0,0,-0.106252333684728,0,0,0,-0.0886052390650758,0,0.0312723134793815,0,0.0621262776848475,0,0.36006869162754,0,0.430397051807931,0,0,0,0,0,0,0,0,0.0470780134652476,0,0,0,0,0,0,0.0396005268980318,0,0,0.0427997589255137,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0.0907621148703426,0,0,0,0.0247324719405982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408341621685352,0,0.100783664762141,0.0310104077461645,0,0.114465054821275,0.40121495860206,0,0,0,0,0,0,0,0,0,-0.211029098449641,0,0,0,0.0694745078791649,0,0,0,0
X2884.TT.EQUITY,0,0.209333714437632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655250580264802,0,0,0,-0.0329823443131372,0,0.392507174956166,0,0.0495140309601376,0,0,0.156171021545938,0,0,0,0,0,0,0,0,0,0,0,-0.0184407958232105,0.0273450358482166,0.0744141498583769,0,0,0,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,-0.18401436930736,0,0,0,0,0,0,0,0,0,0.00152806504106513,0,0,0,-0.0356663004878166,-0.234402243827021,0,0,0,0,0.274777781748359,0,0.143094702175954,0,0.641494293961854,-0.0669788311761984,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148285047480027,0,0,-0.0198124431622938,0.0992721175274241,0.178759559765029
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187735639665416,0.0482506652909136,0,0,0,0,0.156389561760284,0,0,0,0.00958099290682867,0,0,0,0.203657422200104,0,0,0,0,-0.0763839520508855,0,0,0.208276133304992,0,0,0.00161070990153565,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,-0.159680404547209,0,0,0,-0.0500368775437849,0,0,0,0.0146832581617171,0,0,0,0,0.204110743564288,0,0,0,0,0,0,0.351459644159439,0,0,0.00547890501536909,0,0,0,0,0,0,0,0,0,0,0,0,-0.119921296732866,0,0,0,0.236280940224617,0,0,0
