,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,macro_return_add
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-1.38777878078145e-17,0.111569128910902,0,2.16840434497101e-19,0,0,0,0,0.147294506054384,0,0,0.0697008123684191,0,0,0.186728086803962,0,0.0932505991466125,0,0,0,0,0,0.169530839005802,0,0,0,0,-0.124758567441686,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0.298825414885869,0,0,0.0719957336105149,0,0,0,0,0,0,0,0,0.287465428762146,0,0,0,0,0,-0.214312698574081,0.148964167168972,-0.111262655958355,0,0,0.0697704966350514,0,0,0,0,0,0,0,0.251174271070938,0.0989861006603482,-0.0335903109736993,0,0,0,-0.0990811478495564,0,0,0,0,0,0.00679312446223795
X601998.CH.EQUITY,0,0,0,0,0.0396096330525163,0,0,0,0,0,0,0.0720607684821728,0.222888576361311,0,0,0,0,0.14362559365165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687626423400306,0,0.0677133602318537,0,0.143475775032188,0,0.259167707373279,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.107417797718184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502278674100762,0,0,0,0,0,0
X000001.CH.EQUITY,0,0.0254952399873955,0,0,-3.46944695195361e-18,0.036791912760306,0,0.268804074847197,0,0,0,0,0,0,0,0,0,0,0,0.0830352625779613,0,0,0,0,0,-0.188227957777731,0,0,0,0,0.0449585384137568,0,0,0.0479267120615696,0,0,0,0,0.130285325463836,0.373316880754353,0,0.0175976153036161,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0.0612725587190933,0,0,0,0.101409595373173,0,0,0.0270166398216095,0,0,0,-2.77555756156289e-17,0,0,0,0,0.414695462241746,0,0,0,0,0,0,0,0,0.0901248381406978,0,0,0,0.168807746162114,0,0,0,0.135061028117722,0,0,0,0,0,0,0,0.181937122666168,-0.124384817573573,0,0,-0.0917599135149327
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.00707338398650884,0,0,0,0,0.126480812091845,0.198268397666672,0,0,0,0,0.0917733275914297,0,0,0,-0.0102305086911535,0.0316516294028184,0,0,0,0.132029748372394,0,0,0,0,0,0,0,0,0,0,0,-0.270759326651605,0,0,0,0,0,0.0704167229051315,0.235893599098766,0
X601818.CH.EQUITY,0,0,0,0.460128526409415,0,0,0.264768001867262,0,0,0,0,0,0,0,0.139255035064709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10326604229914,0,0,0.0121933300047482,0,0,0,0,0.0963773786645438,0,0,0.0370119806002144,0,0,0,0,0,0,-0.0812319938993221,0,-4.33680868994202e-19
X1113.HK.EQUITY,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0709795742470944,0,0,0,0.181131507541978,2.16840434497101e-19,0.295434824914926,0,0,0,0.0745540490255677,0.0909289037561697,0,0,0,0.200421319866572,0,-0.0417988440708998,0,0,0.00819236620840779,0.150403533460638,0,0,0,0,0,0,0.00978924675746892,0,0.0201244743527102,0,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0.116503998727849,0,-0.168404998185903,0.0468805928882701,0,0,0,0,0,0,0,0.242506764168477,0,0.0789033786312639,0,0.251848118803217,0,0,0,0,0,0,0.0834258704372692,0,0,0,0,0,0,0,0,0,-0.0231760363199902,0,0.0360716869944702,0,-0.134075392274122,0.357584771749206,0,0,0,0,0,0,0.083051309866753,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0.260483942631893,0,0,0,0,0,-0.0834359208783985,0,0,0,0,0,0,0,0.223938504483469,0,0,0,0,0,0.0525364758107786,0,0,0,0.0380916936598617,0,0,0,0,0,0,0,0,0.116515226455744,0.227358484585819,0.0317415713860455,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0.0708545863833866,-0.225798821821746,0,0,0,0,0,0,0,0.106813128514368,0.230537140131707,0,0,0,0,-0.0894156221157643,0,0,0,0,0,-0.0578567360906362,0.246037153709334,0,0,0,0,0.426857738784881,0,0,0.151299420000702,0,0,0,0,0,0,0,0,0,0,0,-0.127761699603191,0
X601688.CH.EQUITY,0,0,0,-0.249061886114569,0,-0.0989175646690187,0,0,0,0,0,0,0,0,-0.104254034473652,0.0542204652121894,0.159557443137161,0,0,0,0,0,0,0,0,0,0,0,0,0.0394704614242506,0,0,0,0.0148391769267775,0,0.520367221061988,0,0,0,0,0.144354507459016,0,0.0731800943161915,0,0.0604426034820864,0,-0.0410258305668121,0,0.232824403172795,0
X001979.CH.EQUITY,-0.174330140090417,0,-0.178031600518561,0,0,-0.0966000590375267,0,0,0,0,0,0,0,-0.225460586239469,0,0,0,-0.0973925375080939,0,0,0,0,0,0,0.232408769070285,0,0,0,0,0,0.0910278123764163,0.420789393937705,0,0,0,0,0,0,0,0,0,0.103185640912483,0,0,0.358597103808357,0,0,0.112946278181865,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.127259632528667,0,0,0,0,0,0.0101099601096896,0,0,0,0,0,0,0,0,0.0129883514058443,0,0,0,0,0,0,0,0.134145240815272,0,0.138074172680851,0.0401792661078017,0,0,0,0.142291373446427,0,0,0,0,0.351762404917361,0,0.0507856807045934
X600837.CH.EQUITY,0.0253878780076247,0,0,0,0,0,0,0,0.212008044190489,0,0,0,0,0,0,0,0,-0.00943163116310301,0,0.105490586216489,0,0,0,0,0,0.0315687490562997,0,0,0,-0.0534800603742655,0,0,0.0266234559633338,0,0,0,0,0.164748711503107,0,0,0,0,0,0,0,0.0420070608876866,0,0,0.344146603206183,0
X601336.CH.EQUITY,0,0,-0.0857590889825113,0,0,0,0.0798641665515815,-0.0293257666274729,0.0373786225778524,0,0,0,0.356465691381448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0919843050801166,0,0,0,0.25364251663393,0,0.0414818791473204,0.266845908511168,0,0,0,0,0.0996824949252797,0,0.00834192858950984,0,0,0,0,0.18710796533551,0,0,0
X601066.CH.EQUITY,-0.11699544986052,0,0,0,-0.270604994986898,0,-0.0473351998061675,0,0,-0.13216232495966,0,0,0,0,0,0,-0.0922209889412394,0,0,0,0,0,0,0,0,0,0,0.317643179907601,0,0.0554315412781517,0,0.0216483288232616,0.0209405565497077,0,0,1.73472347597681e-18,-0.0356309071290177,0,0,-0.0973261077625329,-3.46944695195361e-18,0,0,0,0,0.0943970411124377,-0.182870192103077,0.259474627869962,0.244195679763727,0
X601229.CH.EQUITY,0.455847931481238,0,0,0,0,0,0,0,0,0,0,0.0954704487185524,0,0.183823130718828,0,0,0,0,0,0,0,0,0.166920424176392,0,-6.93889390390723e-18,-0.271781198419049,0,-0.102487842432342,0,0,0,0,0,0,0,0.0961078778234405,0,0.0723881513934034,0,0.160935702382119,0,0,0,0,0,0,0.19751694941748,0,0,0
X002142.CH.EQUITY,0,0.607553840978066,0.260458420288197,-0.0636127310703672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0496995245697088,0,0,0.236410038407797,-0.151012465810608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103155239412703,0,0,0.00159797556278786,0,0.0156951722757194,0,0,0
