,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X600918.CH.Equity,-0.0136411504728605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.00844139755695439,0,0,0,0,0,0,0.0174268994290018,0.219715681803057,-0.17377071009434,0,0,0,0,0.187521169061376,0,0,0,0,0,0,0,0.0879712458104139,0.222932968555889,0.0196089525148014,0,0,0
X12.HK.EQUITY,-0.194632606409006,0,0,0,0,0,0,0,0,0,0.521343369519104,0,0.0134331360341774,0,0,0,0,0,0,0,0.370783979295678,0.00299373683053518,0.0867814387000216,0,0,0.0533724358707928,0.328841676311549,0,0.0660949265717786,0,0,0,-0.00849465266857052,0,0,0,0,0,0,-0.090798546323436,0,0,0,-0.0487119865769907,-0.184292967201764,0,0,0,0,0,0.033542963913686,-0.129021326226013
X2882.TT.EQUITY,0,0,0,0.0811679722912726,0,0,0,0.172347408165058,0.100628457596365,0,0,0,0,0,0,-0.619932896433077,0,0,0.325370736018636,0.278415700610559,0,0,0.053351670622515,0,0,0,0,0,0,0,0,-0.456280570409517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493829508128324,0,0,-0.0828259678465941
X601229.CH.EQUITY,0.8622808748117,-0.129253010188629,0,0,-0.179779113613116,0,0,0,0.316780715938859,0,0,0,0,0,0,0,0,0,0,0,0,0.0480367800823579,0,0,0,-0.262710558518451,0,0,0,0,-0.0770746121697076,0,0.563312753948292,0,0,0,0,0,0,0,0,0,0,-0.0978686267752127,0,0,0,0,0,-0.126353511657178,0.14317501490472,0.0417153795146144
X823.HK.EQUITY,0,0,0,-0.0720718437965686,0,0,0,0.024342691404035,-0.164147218314628,0.0656402740922724,0,0,0,0,0,0,0,0,0,0,0.318403020589301,0,0,0,0,0,0,0.328485576301816,0,0,-0.0146035022179089,-2.71050543121376e-20,0,-8.67361737988404e-19,0.0108196101955715,0,0.165417969784769,0,0,0.123232100018044,0,0,0,0,0,0,0,0,0.414423915056609,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0.127601719424911,0,-0.036654845703389,0,0,0,0.230280886775874,0,0.131356931577806,0.180239247333817,0,0,0,0,0,0,0,0,0.113475827551009,0,0.0909431177565878,0,0,0,0,0,0,0.0771849216176529,0.0160801754571697,0,0.197386784715298,0,0,0,3.46944695195361e-18,0,-0.021676580654239,0,0.000309621345764502,0,-0.0349265503488282,0,0,0,0.0542017555292965,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,-0.0620347590646015,0,0,0,0,0,0,0,0.0259625728887814,0,0,0.261016261167205,0,0,0,0.283200503487389,0,0.0358416067627621,0.033899295076046,0,0,0,0,0,0,0,0.211622511083824,-0.0845054939913995,0.0410458165235602,0.0332126103959284,0,0.145758570382168,0,0.145652826117429,0,0.0229410944611556,0,0,0,0,0,0,0,0,0,-0.119198730780848
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0.124451719066009,0,0,0,0,-0.327878696678439,0,0,0,0,0,0,0,0,0,0.0077023741269899,-0.019056096209591,0,0,0,0.0227024295078928,0,0,0,0,0.354815715726194,0,0,0,0,0.168314927406669,0,0,0.0987727476036774,0,0.510854708864696,0,0,0,0,0,0,0.0738285211809646,0
X601881.CH.EQUITY,0,0,0.0184221903835742,0,-1.38777878078145e-17,0.245701178987551,0,0,-0.0108023978070281,0,0,0.383602440344705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973826176981607,0,0,0,0,0,0,0.263246807365869,-0.0696752955548349,-0.0382041791180976,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,-0.0724353576822753,0,0,0,-0.0627855440614379,0,0,-0.118007353310152,0,0,0,0,0.00782246459861822,0,0,0,0,0,0,0.0458869960757873,0,0,0,0,-0.0212570265408174,0,0,0,0,0.0703668854683432,0,0,0,0,0,0.255012584776348,0.0862627567901511,-0.0830119288660263,0,0,0,0,-0.407053025969959
VXFXI.INDEX,0,-0.18756620913446,0,0,0,0.0155873383540779,0.00521556247704539,3.46944695195361e-18,0,0,0,0,0,0.119448166216381,0,0,0,0,0,0,0,0,-0.0248034879004672,0,0,0,0,0,0,0,0,0,0,0.0414957594842419,0,0,0,0,0,-0.115301383883924,0,0.0881803473871653,-0.137746055687199,0,0.12533513945911,0,0,0,-0.210967530739502,0,-0.474732914132957,0
