,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X601998.CH.EQUITY,0.229978142167233,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.055146714555521,0,0,0,-0.00298498431947504,0.0226163604135416,0,0,0,0.0990235366570662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.135963799899135,0,0.533050452756792,0,-0.0346591501523693,-0.0774842964347103
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.219777357326454,0,0,0,0,0,0,0,0,0,0,0,0,-0.0399010819917265,0,0,0,0,0,0,0,-0.0151496093374645,0,0.320095990928937,0,0.0239125757496244,0.127710551519856,0.0148177289521238,0,0,0,0.011831882710591,0,0,0,0,0,0.0927036824473728,0,0,0.128259383314092,-0.00217274771984454,0
X002142.CH.EQUITY,0,0,0,0,0,0.619303898579487,0,-0.271990000456687,0,0.16992319134842,0,0,0,0,0,0,0,0,0,0,0,0.21814542365397,0,0,0,0,0,0,0,0,0,0,0,-0.0827261053580276,0,0,0,0,0,0.295739223565656,0.207312306763442,0,-0.252531545020729,0,0,0,0,0.0922538794293992,0,0,0.0127621113459954,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.12022351791161,0.513664668789746,0,0,0.102277181407113,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0144259672831797,0,-0.212741950865053,0,0.032813720886342,0,0.046665115169428,0.20912975220854,0,0,0,0,0,0,0,0,0,0.00186586391778584,0,0,0,0,0,0,-0.0406160154095644,0,0,0,0.0853765191862821,0,-0.0557112921595555
X688.HK.EQUITY,0.311898409369928,0,0,0,0,0,0,0,0,0,0,0,-0.0856818302905012,0,0,0,0,0,0,0,0.354720797416221,0,0.189523707762309,0,0,0.0766180439256233,0.0441348379170793,0,-0.0986065186180614,0,0.264457673485965,0,0,0,-0.0774503457989797,0,0,0,0,0,0,0,0,-0.00407973504973182,0,0,0,0,0,0,0.0155019337658754,-0.137317536702943
X2388.HK.EQUITY,0,0,0,0,0,0,0.0720230409277485,0,0.262901962303937,0,0,-0.0412303463893847,0,-0.074281638106398,0,0,0,0.104451447707806,0,0,0.414969099609715,0.15410680170053,-0.247177672578023,0,0,0,3.46944695195361e-18,0,0,0,-0.288782818666563,0,0,0.504002585093325,0,0,0,0,0,0,0,0.0887270021870247,0,0,0,0,0,0,0,0,-0.199610739024744,0
X600048.CH.EQUITY,0,0.076466928573747,0,0,0,0,0,0,0,0,0,0,0,0,0.698466294147588,0,0.0442972180947475,0,0,0,0,0,0,0,0,0.0765312302409741,0,0,0,0,0.0409267422942704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931562133761687,0,0,0,0,-0.144421141149305,0
X2007.HK.EQUITY,0,0.254967237713272,0,0,0,0,0,0.202552892826021,0.0497062248229845,0.0639005074506835,0,0,0,0,0,0,-0.0986708837128826,0,0,0,-0.303364661891907,0,0,0,0,0,0,0.391775086518467,0,0,0,0,0,0.409665019310954,0,0,-0.100433078673597,0,0.236596237648689,0,0.00365759398862841,0,0,0,0,0,0,-0.0705744077717843,0,0,0,0.0862755161231888
X601818.CH.EQUITY,0,0.139179110092174,0,0.1538882149876,0,0,0.0693128485328698,0,0,0,0,0,0,0,0,0,0.00176859200865451,0.0698165473802129,0.0716314451361808,0.0888824937802284,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0211951864749612,-0.0277553086260971,0,0,0,0,0,0,0.0492784955303658,0.112657882380193,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.170486646189943,0,0,0,0,0,0,0,0,0,0,0,0,0.150854910605131,0,0.0036378876336906,0,0,0,0,0,0,0,0,0.285386143896429,0,0.12396599191265,0.0569446060828253,0,0,0,0,0,0,0,0.167012185030004,0,0,0,-0.00119172523539322,0
