,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.0311493502749599,0,0,0,0.202889319382911,0,0,0,0,0,-0.0857993830157572,0,0,0.0372563733777037,0.157943116994771,0.0105886985856095,0,0,0,0,0.0923606996868985,0,0,0,0,0,0.130613544818721,0,0,0,0,0,0,0.0365010273954682,0,0,0.033602009763579,0,0,0.206266524888179,0.0674032792152402,0,0.0713059516150159,0
X600837.CH.EQUITY,0.0143486104896219,0,0,0,0,0,0,0,0.0639199828909086,0,0,0.0683101762426728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013771492009574,0,0,0.0580068064967815,0.117235520457705,0,0,0,0,0,0,0,0,0,0.0418400308426424,0,0,0,0.3269802992176,0.287151376254605,0,0
X002142.CH.EQUITY,0,0.104460127131116,0.318702310197828,0,0,0,0,0,0.0489457936758169,0,0.0903022941167323,0,0,0,0,0,0.104565009626718,0.276910807981275,0,0,-0.0221385942393734,0,0,0,0,-0.270450856917949,0,0,0,0,0,0,0,0,0.0877309786078485,0,0,0,0.0578800272407329,0.0157502518457713,0,0,0,0,0,0.147615687786177,0,0,0,0,0
X601336.CH.EQUITY,0.0131931724706697,0,0,0,0,0,0.0674994534626619,-0.0807435541730292,0,0,0,0.239986261816605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131762303096061,0,0,0,0.0985978985596655,0.1862533362029,0,0,0,0,0,0.0884816393314358,0,0,0.20942817331105,0,0.181221837412319,0,0,0,0,0
X601229.CH.EQUITY,0.465434803527466,0,0,0,0,0,0,0,0,0,0,0,0,0.21904415700658,0,0,0,0.187763320852227,0,0,0,0,0,0.101729874624916,0,-0.15356827214438,0,-0.176844120412538,0,-0.00130551082919576,-0.0269045250816707,0,0.150638613462085,0,0,0,0,0.0443647677249223,0,0,0,0,0,0,0,0.199819206550058,0,0.0176905479512748,0,0,0
X2882.TT.EQUITY,0,0,0,0,0.154495383094819,0,0.0378238609542842,0,0,-0.0447685369169507,0,0,0,0,-0.0668164220969243,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165077509849082,0,5.42101086242752e-20,0,0,0,0,0,0.249703361404527,0,0,0.00116335867799893,0,0,0,0,0,0,0.533173611224594,0,0,0,0,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0891629566063461,0,0,0.130091853965378,0.180881243380221,0.100707165386118,0,0.0982577496314619,0,0,0.0144166554046089,0.0513751386214959,0,0,0,0.101275593175376,0,0.3952786665959,0.0876274568860408,0,0.106482377719177,-0.285457505081089,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109629869438367,0,0
X600015.CH.EQUITY,0,0,0,0.0983970732461266,0,0.0410214881018716,0,0,0,0,0,0,0.249762507320567,0,0,0,0,0.00446877953961032,0,0,0,0,0,0,0,0,0,0,0.0427483159265528,0.138030285848113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46975680658943,0,0,0,0,0,0.000219955918971103
X000166.CH.EQUITY,0.0720598551609004,0,0,0,0,0,0,0,0,0,0,0.0728945662445884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499783490159037,0,0,0,0.0173057077482434,0,0.146776252182818,0,0,0.0329587304550351,0,-0.0183259302934183,0,0,0,0,0,0.116296329869357,0.303021344694778,0.306406026604877,-0.0499155696692222,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,-0.373876236347499,0,0,0.0232029210629929,0,-0.0433433698124129,0,0,-0.0952880498534993,-0.0132818199489599,0.081452744483431,0,0.0846849910087982,0,0,0.0351655977450403,0,0,0,0.294058759921015,-0.171455764475648,-0.0198126244247276,0,0,0.0670154754390211,0,0.505387667823532,0,0,0,0,0,0,0,0.703627772716985,0,0,0,0,0,-0.127356319699617,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.0987458292535177,0,0,0,-0.261543343595641,0,0,0,0,0,0,0.0210204934492636,0,0,0,0,-0.262557389182686,0,0,0,0,0,-0.0818986851264915,0,0,0.0885528993042067,0,-0.15369103762841,0,0.406493127662126,0.0678602238941356,0.404496072898801,0.282879615822341,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00606927364744248,0,0.0651715572407141,0,0,0,0,0,0.165853726443095,0.100588492414455,0.288580183912999,0,0,0,0.12036008943058,0,0.0027243573928639,0,0,-0.136838017701053,0,0.0538600402108943,0,0,0,0,0,0,0,0,0,0.0242370138325002,0,0.0065568307965112,0,0,0,0.144729979955748,-0.0715273282034919,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0.0509720369327055,0,0,0,0.128696265612378,0,0,0.228031284337587,0,0,0,0,0,0,0,0,0.0614688951315302,-8.67361737988404e-19,0,0,0,-0.0683930539407844,0,0,0,0,0,0,0.138740008656793,0.0531048274030194,0,0,0.0163255883325275,0,0,0,0.141494679407271,0,0,0,0,0,-0.0438465164427277,0
X002736.CH.EQUITY,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.170430029687264,0,0.0603855181745568,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.107127484216078,0,0.115642294925816,0,0,0,0,0,0,0,0,0.228148437686133,0,0.0346729776712023,0.109831620566211,0,0,-0.0409458824738345,0,0,0.249561681872702,0,0,0.0734117182951928,0,0,0,0.0950241735776212
FXI.US.EQUITY,0,0,0,0,0,0,0,0.0387102091267339,0,0,0,-0.0164813655683714,0,0,0,0,0,-0.0124128510307411,0,0,0,0,0.400615317115936,0,0,0,0,0.0386304692395346,0,0,0,-0.0824555181354877,0,0,0,0,0,0,0,0,0,-0.0511751481170078,-0.041672208569263,0,0,0,0,0,0,0,-0.553830686710428
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.177325394296645,0,0,-0.0382529961451403,0,-0.0151160759115627,0.0605425375524139,0,0,0,0,0.100603089505769,0,0,0,0,0,0,0,0,0,0,0.0116563420686526,0,0,0,0,0,0,-0.264843191137299,-0.078794549154243,0,0,0,0,0,0.0266409733605744,-0.823000261121793,0
