,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601998.CH.EQUITY,0,0,0,0,0,0.080076439417407,0,0,0,-0.0653332452775261,0,0.0882543432367887,0,0,0,0,0,0,0,0,0,0,0,0.0811861743311087,0,0,0,0.0690599271152484,0,0.0883898084373521,-0.0319628937560229,0,0,0,0,0,0,0,0.0854767553213483,0,0.189879800177818,0,-0.041384969855305,0,0.469250124853565,0,0,0,-0.0219466579294206,-0.00325437089953991,0,0.0341885784916502
X267.HK.EQUITY,0,0,0,0,0,0,0,0.0732490926729242,0.0360576364166953,0,0.0818221459504962,0,0,0,0,0,0,0,0,0.128880161272849,0,0.231802644870953,0,0,0,0,0.0357156547927319,0,0.0346180071479304,0.0270638727185922,0,0.265624311146815,0,0,0,0.0693278685130598,0.016589819680503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,-0.0353501877624601,0,0,0,0,0,0,0,0,-0.279211755188172,0,0,0,0,0,0,0,0.0369363546656431,0,0.140085458195487,0,0,0,0,0,0,0,0.111571589869148,0.76360164327729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509460679827792,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.272294492079931,-0.142057639869351,0,0,0.0644765028129103,0,0,0,0,0,0,0,0.00569603941237992,0,0.236482253507057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441661789585252,0,0,0,0,0,0,0,0.149576945007341,0,0.0960631427673058,0,0,-0.0791616225159757,0.140305579885681
X2007.HK.EQUITY,0,0,0,0.0180748917642292,0.15970114429441,0.0036772006169298,0,0,0,0,0,0.205385786617367,0,0,0,0,0,0,0,0.18591531216144,0,0,0,0,0,0,0.218000782663018,0,0,0,0,0.0230154206585776,0,0,0,0,0,0,0.0174133175198347,0,0,0.029353111273605,0.0200950446772622,0,0.0897217064319948,0,0,0,0,0,0.0353911896803277,0
X601818.CH.EQUITY,0,0,0,0.0989193390639866,-8.67361737988404e-19,0,0,0,0,0,0.0620983120591889,0,0,0,0,0,0.512404452465511,0,0,0,0,0,-0.0154801870902502,0,0.150478977479643,0,0,0,0,0,0.101372067724936,0,0,0,0,-0.0281081604350777,0,0,0,-0.160684169055678,0,0,0,0,0.0832192234784158,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.233512371139029,0,0,0.0390180118848661,0,0,0,0.0791651514204266,0,0,0,0,0,0,0,0.0274038151690403,0,0.323895581871092,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0.10625226039076,0,0,0,0.063966530737929,0,0,0.041455091071243,0,0,0
X1113.HK.EQUITY,0,0.130292281655778,0,0,0,0,0,0,0,0.0461057334627947,0,0,0.13385267313621,0,0,0,0,0,0.0734525754128743,0,0,0,0,0,0,0,0,0,0,-0.0406842847680235,0,0,0,0.0463983393001572,0,0.49370854495807,0,0,0,0,0,0,0,0,0,0,0.124369433816111,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0.220697814806113,0,0,0,0,0,0,0,0.341346763874125,0,0,0,0.0205070504891815,0,0.163151151061894,0,0,0,0.00682754326213725,0,0,0,0,0,0,0,0,0,0.0850272850757372,0,0.00152427703968332,0,0,0,0.122861072214853,0.072343662028421,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.037113267116786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218465949848988,0,0,0,0,0,0.362196838583425,0,0,0,0,0.0659361008078711,0,0.150645926987912,0,0.0993599413063689,0,0,0,0,0,0
