,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0.0789424509702838,0,0,0,0.0884515959823663,0,0,0,0,0,0,0.0258828242248682,0,0,0,0,0,0.103834109715938,0,0.2046235717689,0,0,0.406399952203964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,-0.0953587286183997,0,0.354787893138597,0,0.171431030355311,0,0.126893768566171,0,0,0,0,0,0,0,0,0,0,-0.132271591382932,0,0,0,0.667467418496825,0,0,0,0,0,0,0,0,0,0,0,0,-0.0623268079335735,0,0,0,0,-0.0718208150989191,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0297286747889766,0.0851691339451835,0,0,0,0,0,0,0,0.224227732140061,0.0133928278684986,-0.0109784703765615,0,0,0,0,0,0,0,0,0.256391164249403,0,0,0,0,0.0634152905371092,0,0,0,0,0,0,0,0,0.311940694830345,0,0,0.0191594658719493,0,0.0797696514937481,0,0,0
X601601.CH.EQUITY,0,0.179525373005425,0,0.216558423724116,0,0.0193316403960557,0.00727030139876911,0.0299944225541159,0.0530372741441288,0,0,0.0270045116837907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526740410012133,0,0,0.108888872975452,0,0,0,0,0,0,0,0,0,0,0.355589618897527,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0.247261844191217,0,0,0,0,0,0,0,0,0,0,0.14706555136747,0,0,0,0,0.289630329426788,0,0,0,0,0,0,0,0,0,0,0.0484579750440808,0,0,0,0.23103951875902,0,0,0,0,-0.0353831041216935,0.0272551252512747,0,0,0.0158880399237635,0,0,0,0.0697980441382589,0,-0.0747963889461396
X267.HK.EQUITY,0,0,0,0,0,0,0.0829926920897759,0,0,0,0,0,0.0512848816711807,0,0,0.263549022887342,0.071893793339356,0,0,0,0.164475783618723,0,0.132942640454752,0,0.0654972541782324,0,0,0.131434383837224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156732882494521,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168194268819713,-0.03128139536715,0.393424228619553,0,0.102808434237015,0,0.147339119159668,0,0,0,0,0.418107915484641,0,0,-0.137538473757088,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.256843619538109,0,0,0,0,0,0,0,0,0,0,0.199714285942822,0,0,0,0,0.123805641819776,0.170615720700484,0,0,0,0.584746842050349,0,0,0,0,0,0,0,0.0692485404025271,0,0,0,0,0,0,-0.186144934397723,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.318610694387014,0,0,0,0,0,0,0,0.0987971705959841,0.0345737738040766,0,0,0,0,0.00340606140704164,0,0,0,0,0,0,0,0.097424352134163,0,0,0,0,0.184905225052393,0,-5.42101086242752e-20,0.161499793072618,0,0,0,0,0,0,0,-0.0180269536153305,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.416887621131544,0.00284354592163497,0,0,0,0,0.0150765391756613,0,0,0,0,0.531989212806075,0,0,0,-0.0414137135207418,0,0,0,0,0,0,0,0.0355782379151739,0,0,0,0,0,0,0,0,0,0,-0.00850998805245615,0,0,0,-0.0606404093620889,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0482086985558306,0,0,0,0,0,0,0,0.327190399314936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00429010072024589,0,0.162907254212222,0,0,0.243266671169137,0.147149544492066,0,0,0,0,0,0,0.00202581540436693,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.202461228327218,0,0,0,0,0,0.00732605061743428,0,0.00646159919285551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137638249055221,0,0,0,0,0.0747859501983715,0.156376381316284,0.0226289546675364,0,0.00171990450681833,0,0,0.251345396103366,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119804614457489,0,0,0,0,0,0,0,0,0.0833354577348026,0,0,0,0,0,0.0961203696167718,0,0,0,0,0,0.584562596518429,0,0,0,0,0,0.0825561926999046,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.367390267198699,0,0,0,0.208034398217731,0,0,0,0,0.0288938631741419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19287186163435,0.136523550036242,0,1.73472347597681e-18,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0.195455270247219,0.0122068196988667,0.195327959324082,0.0343153631236151,0,0,0,0,0,0,0,0,0,0,-0.00418169565133554,0,0,-8.67361737988404e-19,0,0,0,0,0,0.130214199650728,0,-0.1241713413192,0,0,0,0,0,0,0,0,0,0.356256722797076,-0.0158988733325716,0,0,0,0,0,0,0,-0.0446756063662979,3.46944695195361e-18
X823.HK.EQUITY,0,0,0.0487537537980911,0,0,0,0.12930881070413,0,0,-0.0179710151110569,0,0,-0.0821580864039314,0,0,0,0.0963611633045379,0,0,0,0,0,0,0,0,0.0916829404852388,0,0,0,0,0,0,0,0,-0.0541928200292322,0,0.443710367884691,-0.0761794788830701,0,0,0,0,0.0678091268246635,0,0,0,0,0,0.0881717349664339,8.67361737988404e-19,0,-0.125367343881743
X1113.HK.EQUITY,0,0,0,0,0,0,0.0842209990134161,0,0,0,0,0,0,0,0,0.271323666440819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561467094372608,0.0241340417481033,0.257375484915624,0,0,0,0,0,0,0,0,0,0.297682146576339,0,0,0,0,0,0,0,0.0503717058832953,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.15478170740957,3.46944695195361e-18,0.00146735100813383,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0380226892944972,0,0.283787311139798,0,0.158016167836599,0,0,0,0,0,0,0,0.0316645484603576,0,0,0,-1.73472347597681e-18,0,0,0.1076601525053,0,0.167534169718472,0,0.0202309480767777,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397469937787179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233583111264655,0,0.1394596135,0,0,0,0.0325196354839577,0,0,0.0953636431706382,0,0,0,0.0692729775403316,0,0,0.236193669275676,0.0991835325938749,0.073620303021533,0,0
