,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,CN2YR
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.158022125726892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164982026143099,0.220432254194082,0,-0.0486594238768532,0,0,0.250485867352063,0,0,0,0,0,-0.150322689743259,-0.037385597354196,0,0,0,0,0.0111579097281443,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07754120654635,0,0.00849974978571553,0,0,0,0,0,0,0,0,0,-0.10067156979651,0,0,0,0.116089787181098,0,0.225507710104976,0.0370490257015602,0,0,0.0742644259648203,0,0,0,0,0,0,0.130757689830221,0.45711309830491,0,0,0,0,0,0
X2388.HK.EQUITY,0.118760315303023,0,0,0,0,0,0,0,0.180936616823959,0,0.0699551679537531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719610049488532,0.42492459358874,0,0,0,0,0,-0.344486799349207,0.129620868595122,0,0,0,0,0.0478485365376582,0.0546786778523737,0,0,0.00841916758219442,0,0,0.0980223698082761,0,-0.176825026952463,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0204651517269545,0,0,0.165408914797324,0,0,0.276367180969196,0,0,0.0368495396797553,0,0,0.03787482157469,0,0,0,0,0,0,0.273440113913078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0.28469918183027,0,0,0.0756054635188097,0,0,0,0,0,0.0550957432951445,0,0.201265205068512,0,0.29390198176664,0,0,0,-0.0180556630858234,0,0,0,-0.00250114056760446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556926416956957,0,0,0,0.149340523319846,0,0,0,0,0.0392787768447891
X002142.CH.EQUITY,0,0,-0.101846487785348,0.555959420259559,-0.126243007192067,0,-0.236924917994792,0,0,0,0,-0.0169495619799133,0,0,0,0,0.0446677607405671,0,0.103926968606686,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0650579906173113,0,3.46944695195361e-18,0,0,0,0.253560936718768,0,0,0,0,0.11651361924504,0,-0.00902451126707775,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.0463517027557294,0
X600016.CH.EQUITY,0,0,0.191151436338944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465171698515384,0,0,0,0.0510999047226045,0,0,0,-0.0869196801416624,0,0.0906097715627582,0.0748502472498495,0,0,0.750806842179482,0,0,0,0,0,0,0,0,-0.348929252705106,0,0.297487880051027,0,0,0,0,0,0.0382933211326136,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.0512708168260506,0.485690596369874,0,0.0581183114890258,-0.045163853143667,0,0,0,0,0,0,0,0,0,0,0.3268259318916,0,0,0,0,0,0,0,0,0,0.136438437109373,0,0,0.112180564472427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554899871581192
X601818.CH.EQUITY,0,0.081316282685813,0.0847445008736946,0,0,0,0,0,0,0.169842852487331,0,0.217577726243943,0,0,0,0,0,0,0,0,0,0,0.0104749814889376,0,0,0,0.020784907818742,0,0,0,0,0,0,0.177360685198494,0,0,0,0,0,0,0,0,0,0,0,0,0.130838013217289,0,0.0901315233361778,-0.0195514773563131,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0.212936709292219,0,0,0.173110062156255,0,0,0.383634633579866,0,0,0,-0.154647806751601,0,0,0,0,0,0,0,0.196711588454251,0,0,0,0,0.105790114900934,0,0,-0.00880202229252477,0,0.221592857724171,0,0,0,0,0,0.0168773612291277,0,0.0950654647215741,0.0450152540674736,0,0,0,0,0,0,-0.184564021538413
X2007.HK.EQUITY,0,0.000113503701385992,0,0,0,0,0,0.102040241604618,0,0,0,0,0,0,0,-0.620963255199556,0,0,0,0,0,0,0.126183383586281,0,0,0,0,0,0,0.131294431035142,0,0,0.23121505177126,0,0,0.3785528771548,0,0,0,0,0,0,0,-0.129633431436943,0.291486517362494,0,0,0,0,0,0,0.0900714394214348
X600999.CH.EQUITY,0,0,0,0,0,0.12413686690604,0.0769100529617135,0,0,0.103709948972271,-1.73472347597681e-18,0,0.0754716648204714,0,0.0383869759318566,0,0,0.0524704200353304,0,0,0,0,0,0.17209534667856,0,0,0,0,0,0,0,0,0,0.420779258925998,0,0,0,0.0765505849214035,0,0,0,0,0,0,0,0,0,-0.0702968952120836,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160488242203247,0,0,0,0.750154485648557,0,0.158646084981659,-0.386433572512082,0.0766109659559266,0,-0.231215163661718,0.242731075416643,0,0,0,0,0,0,0,0,0,0,0,0,-0.251147549834816,0,0,0,0.123805318915034,0.178211771086331,0,0,0
X601688.CH.EQUITY,0,0,0,-0.061995591608736,-0.0321912496379104,0,0,0,0,0,0,0,0,0,0.193418887643214,0,0,0.037807698230391,-0.0289630257239569,0,0,0.012135587661736,0,0,0,0,0.295775609173564,0,0,0,0,0,0,0,0.149975746783852,0,0.412076785471853,0,0,0,0,-0.0446330679629915,0,0,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.474990644299846,0,0,0,0,0,0,0,0,0.203764721602752,0,0,0,0,0,0.0887770135036445,0,0,-0.0846076623669159,0,0,0,0,0,0,0,0,0,0,0,0.0413894443471541,0,0,0,0,0,-0.00437995907162175,5.18124023254646e-05,0,0.245218880186393,0,0,0,0,0,-0.179372887888163,-0.0286704252582053
X267.HK.EQUITY,0.256610485816846,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0190533287649259,0,0,0.134127261618169,0,0,0,0,0,0,0,0,0.0390328408172111,0,0,0,0,0.0315276541763092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152240602570979,0,0.211292974988415,0,0
X601211.CH.EQUITY,0,0,0,0.120187335681218,0.0448919946805419,0,0.0782436028371543,0,0,0,0,0,0,0,0.240834504735247,-6.93889390390723e-18,0,8.67361737988404e-19,0,0,0,0,0,0.0273339362214573,0,0,0.0581337204021663,0,0.0336080938203388,0.0121267334888107,0,0,0,0.265758129912524,0,0,0,0,0,0.00174128508045108,0,0,0.072486553129603,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0.161693895046633,0.0698340641771944,0,0,0,0,0,-0.0213970904279724,0,0,0.064466212751279,0,0,0,0,0,0,0,-0.0277560712940619,0,0,0,0,0,-0.0371642343725592,0,0,0,0.408219555780267,0.0188312564159198,0,0,0,0,0,0,0,0,0.0690026684829192,0,0,0,0,0.113495501437938,0,0,-0.066426768433834
X1113.HK.EQUITY,0,0,0,0,0,0,0.243593209118444,0,0.182478439369563,0,0,0,0,-0.0136884372323737,0,0,-0.146887291354153,0,0,0.143670355606537,0,0,0.155713886053837,0,0,0,0,0,0,0,0,0,0,0,0,0.00347210726530255,0,-0.0469102891188621,0,-0.173049871901955,0.0653835902992083,0.0561461075509122,0,0.101226131196172,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,-0.115011822752285,0,0,0,0,0,0,0,0,0.307488568917243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473810899377271,0,0,-0.000654188027796809,0,0,0,-0.198102381521795,0,-0.097664603243637
X12.HK.EQUITY,0,0.10454703251742,0,0,0,0,0.159355704389755,0,-0.194847233753425,0,0,0,-0.000291153627770461,-0.0291842593728955,0,0,0.0487741675415173,0,0,0,0,0,0.131581754358124,-0.215968683661351,0,0,0,0,0,0,0.214755443682102,0,0,0,0,0,0,0,0.570853756134516,0,0,0,0,-0.00238114140985587,0,0,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189022155631853,0,-0.105813223587007,0,0,0,0,0.00990773634417626,0,0,0,0,0.0586335890989703,0,0.0768761550146869,0.0382711478927382,0,0,0,0,0.0992934373751469,0,0,0,0,0,0,0,0,0,0,0,0.71029896532274,0,0.186125384647608,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0.211748719632741,0,0,0,0,0,-0.041022811450615,0,0,0,0,0,0,0,-0.0466232325828894,0.345844175900549,0,0,0,0,0,0,0,-0.0489754936575815,-0.0141346192167291,0.146026548394309,0,0,0,0,0.102508121298219,0,0,0.179207543724956,-0.0199137973600562,0,0,0,0,0.0118133470211724,0,0,0.402212405592788,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0.0445261370365645,0,-0.0751148745420883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0479480027927112,-0.0241246086318576,0,0,0,0.037284490884831,0,0.0888369619172355,0,-0.162142643090463,0,0.140226404895444,0,0,0,0,0,0,0,0.425377012649215,-0.0192437607029567,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0.0365764320443184,0,0,0,0,0,0,0.0983237326856331,0.119001069832135,0.215855927688006,0,0,0,0,0.0240729216750013,0,0,0,0.0572767465105758,0,0,0,0.150775213782949,0,0,0,0,0.0251594970886724,0,0,0,0,0,0,-0.129969587296137,0,0.163286361260386,0,0,0,-0.0225995765397918,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0117921560201733,0,0,0,0.164876880967563,0,0,0.150213063473111,0,0,0,0.192506088593196,0,0,0,0,0,0,0,0,0,0,-0.00299339378694802,0,0,0,0.247470519871654,0,-0.123387647263578,0,0,0,0.0945871443578419,0,0,0,0,-0.0748726139348237,0,0,0.0516266868812993,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0.262232275988388,0.0593651708744249,-0.189459027347124,0,0,0,0,0,-0.112644345988923,0.124357032669292,0,0,0.114869443310497,0,0,0,0,0.218949223477706,0,0,0.135966589922055,0,0,0.153823583637574,0,0,0,0,0,0,0,0,0,-0.32111424095443,0,0,0,0,0,0,0.535015807650877,0,0,0.0935583698556507
X2881.TT.EQUITY,0,0,0,0,0,0,0.0312421974503599,0,0,-0.0367319026651789,0,0.0472120323296637,0,-0.0501439681772945,0,0,0,0.056507888605035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290912377876624,0,0,0,0.120511988805395,0,0.6008760454747,0,0,-0.195410745164234,0,0,0,0,0,0,0
X601169.CH.EQUITY,0.0426241109352942,0,0,0,0,0,0,0,0,0.046159764033057,0,0.0810038548933836,0,-0.0555858277139865,0,0.249231953046748,0,0,0.00755174744742074,0,0,0.0280930797175469,0,0,0.0704301598722332,0,0,0,0.0144302596656121,0,0,0.0662100590843453,0,0,0,0,0,0,0,0,0,0,0.0866146162171551,0,0,0,0.276806127559432,0,0,0,0,0
X1997.HK.EQUITY,0,0,-0.14878107916243,0.0817191191236102,0,0,0,0,0,0,0,0,0.189887667776595,0,0,0,0,0.0313719232720654,0,0,-0.193612631014486,0,-0.01199255382558,0,0,0,0,0,0,0,0,0,-0.0923472191212078,0,0,0,0,0,0,0,0,-0.0202761289200092,0,0.135865058618425,-0.0131811008296897,0,0,-0.0191316517736345,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0.0716417837941647,0,0,0,0,0.251740463650578,0,0,0,0,0,0,0,0,0.213727889309109,0,0,0,0,0,0,0,0,0,0,0.0466084426098071,-0.151678749652576,0,0,0,0,0,0,0,0,0,0,0.138206809751014,0,0,0,0,0.350129074508403,0,0
CN2YR,0,0.610636107635567,0.0258273143145736,0,0,0,0,0,0,0,0,0,0,0,0,-0.37519161291976,0,0,0,0,0,0.193114393554257,0,0,0,0,0,0,0,-0.343208613305207,0.0990002783378889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
