,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0223929334796867,0,0,0,0,0,0,-0.183959426317496,0,0,0,0,0,0.0827200593305819,0,0,0.368126590680953,0,0,0,0,0.106615244604315,0,0,0.297432410665697,0.280260435271613,0,0,0,0,0,0,0,0,0,0,0,0.0628470617183667,0,0,0.097171327210952,-0.0320814840035626,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0483225159587418,0,0,0,0,0,0,0,0,0.146928131851213,0,0,0,0,0,0,0,0,0.0687241684008933,0,0,0,0.372184009890374,0,0,0,0,0,0,6.93889390390723e-18,0.139613615417406,0,0,0,0.121127689830255,0,0.0159945276641055,-0.0421856029236184,0,0.0586270479930472,4.33680868994202e-19,0,0.00277956361072039,0.0382432710278169
X2881.TT.EQUITY,0.0260542235797268,0.00840249272529231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208787333657339,0,0,0,0,0,0.0371794637973169,0,0,0,0,0,0,-0.243013886432358,0,0,0,0,0,0.657626893521006,-0.0079562642837911,-0.0262450302282914,0,0,-0.0935923227434165,0,0,0,0.258522578507322,0,-0.0456711321726021,0,-0.135239221182748
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20713076454615,0,0,0,-0.0181167317769588,0,0,0.686532189349412,0,0.0777970824877631,0,0.031928361455129,0,0.0465577330754438,0,-0.18904386252627,0,0,0,0.113803392159166,0,-0.282540555772743
X000002.CH.EQUITY,0,0,0,1.73472347597681e-18,0,0.104678945788678,0,0,0,0,0,0,0,0,0,0,0,0,0.194928052520413,0,0,0,0,0,0.162199414408314,0,0,0,0,0,0,0,0,0,0,-0.325038951072609,0,0,0.073208482740639,0,0,0,0,-0.0338623180544996,0,0,0.12295529736965,0,0,0,0.0225986999754214,0
X001979.CH.EQUITY,0,0,0.801382384983411,0,-0.0806748053499714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735800003846071,0,0,0,0,0,-0.0745463922578378,0,0,0,0,0,-0.0426347019911145,0,-0.118130288194048,0.0504116873784406,0,0,-0.00918201247797984,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0.0892069279439715,0,0.262542009925444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0688194491460919,0,0,0,-0.00770875459931381,0,-0.0939570663130455,0,0,0.108153276477709,0,0,0,0,0,0,0.070814382766444,0.520064781545488,0,0,0,0,0,0,0.240201201217128,0,0,0.0461265562033957,0,0
X1109.HK.EQUITY,0.0205677978277682,0,0,0,0,0,0,-0.114215980637355,0,-0.0175917273739138,0,0,-0.129212193038908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250975113757899,0,0,0,0,0.268072240871236,0.139006281672301,-0.0222855772694589,0,0,0,0,0,0,0.127682073345954,0.0325252412785597,0,0.233274690412752,0.121715339206944,0,0,0.104366956363956
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200378141565129,0,0,-0.507525654701593,0,0,0,0,-0.193635666969997,0,0.668330450701414,0,0,0,0,0,0,0,0,0,0.275345793132303,0,0,-0.043796057998082,0,0,0,0.0896779413932311,0,0,0.236741814900734,0,0,0.0882723683959779
X12.HK.EQUITY,0,0.0332322626048951,0,0,0.0475485941432826,-0.0461627311774161,0,0,0,0,0,0,0,0,0,0,0.00114791637121133,0,0,0,0,0,0,0,0.0129199418579702,0,0,0,0,0,0,0.059177684726075,0,0,0,0,0.313869890469053,0,0,-0.0438350390462472,0,0,0,0,0,0.394917228729135,0.139472842500942,1.0842021724855e-19,0,-0.213751016138634,0,0.217283427995529
X16.HK.EQUITY,0,0,0,0,0,0,0,-0.0386405150797385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128780025205524,-0.103020042835973,0,0,0,-0.0440224354212415,0,0,0,0,0,-0.0951027759584382,0,0,2.16840434497101e-19,0.0765046101743703,-0.152130708057883,0,0.168963321757707,0.181070048258932,0,-0.0683371869821737,0.081050903756639,0.36391620631033,0.270576822089109,0.149757996659664,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.546714692787692,-0.200785100796633,0,0,0,0,0,0,0,0.124016298685019,0,0,0,0.0379860296961035,0,0,0,0,0,0,0,0,0.170758338174071,0,0,0,0,0,0,0,0,0.113861756447793,0.10686653653752,-0.0458811036337329,0,0.00713526229750825,-0.0727067958405116,0,0.453486266209529,0.450846179665092,0,-0.0258493655994021,0.222632869175636
X267.HK.EQUITY,0,0,0,0,0.183617613647085,0,0,0,0,0,0.207530951242692,0,0,0,0,0.152781781072023,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208027467970566,0,0,0,0.0322432678221406,0.00461115459002803,0,0,0.0985138485953676,0,0,0,0,-0.0602691529732278,0,0.215315940250313,0,0.170383571041798,0,0.119470093058702,0.078191151938444,0,0
X688.HK.EQUITY,0,0,0,0,0,-0.250655109678435,0,0,0,0,0,0,0,0,0,0,0.0225350282205754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967553788247396,0,0,-0.010618047082053,0,0,0,0.045527184947126,0,-0.101479155163233,0,0,0.16551271861503,0,0,0.368118516975328,0.377111213755562,0.194120073524366,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0.219375288057556,0,0,0,0.00826572009394107,0,0,0,0,0,0,0,0,-0.00350969954068327,-0.129015072779262,0,0,0,0,-0.249299157892058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295241709318377,0,0,0,0,0,0,0.336291726720191,0,0.0721739652553951,-0.141580698356394,0,0,0.0591802536542703
MKRturn,0.141219661456001,0.184026838990318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663481452657913,0,0,0,0.13512333481577,0,0,0,-0.342507073604831,0,0,0,0,0,0.132245822349543,0,0,0,0,0,0,0,0,0,0.188881929867771,0,0,0,0,0,0.158387653285863,0.245280407229843,0,0
RealEstateDiff,0,0,0,0,-0.221730471028266,0,0,0,0,0,0,0,0,0,0,0,-0.196582047305673,0.164756649242536,-0.26896268192917,0,0,0,0,0,0,-0.20225334843155,0,0.0835326982699352,0,0,0,0,0,0,0.271872140264309,0,0,0,0,0,0,0,0.227704158090233,0.102671011060114,0.151292773709976,0,0,0,0,0.0767661620981523,0.141125068799293,0
